Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2017
ACEH,8957
Simeulue,6677
Aceh Singkil,8230
Aceh Selatan,7567
Aceh Tenggara,7359
Aceh Timur,7961
Aceh Tengah,10021
Aceh Barat,8989
Aceh Besar,8965
Pidie,9377
Bireuen,8237
Aceh Utara,7632
Aceh Barat Daya,7723
Gayo Lues,8322
Aceh Tamiang,7931
Nagan Raya,7732
Aceh Jaya,8898
Bener Meriah,10428
Pidie Jaya,9691
Kota Banda Aceh,15917
Kota Sabang,10610
Kota Langsa,11261
Kota Lhokseumawe,10673
Kota Subulussalam,6887
SUMATERA UTARA,10036
Nias,6629
Mandailing Natal,9385
Tapanuli Selatan,10955
Tapanuli Tengah,9852
Tapanuli Utara,11407
Toba Samosir / Toba,11846
Labuhan Batu,10760
Asahan,10477
Simalungun,11055
Dairi,10395
Karo,12059
Deli Serdang,11891
Langkat,10784
Nias Selatan,6792
Humbang Hasundutan,7412
Pakpak Bharat,7913
Samosir,8163
Serdang Bedagai,10551
Batu Bara,10084
Padang Lawas Utara,9737
Padang Lawas,8445
Labuhan Batu Selatan,10892
Labuhan Batu Utara,11510
Nias Utara,5835
Nias Barat,5594
Kota Sibolga,11221
Kota Tanjung Balai,10778
Kota Pematang Siantar,12106
Kota Tebing Tinggi,12055
Kota Medan,14613
Kota Binjai,10487
Kota Padangsidimpuan,10464
Kota Gunungsitoli,7300
SUMATERA BARAT,10306
Kepulauan Mentawai,6010
Pesisir Selatan,8819
Solok,9743
Sijunjung,10093
Tanah Datar,10311
Padang Pariaman,10579
Agam,9388
Lima Puluh Kota,9151
Pasaman,7882
Solok Selatan,9891
Dharmasraya,10851
Pasaman Barat,8704
Kota Padang,13957
Kota Solok,11673
Kota Sawah Lunto,9343
Kota Padang Panjang,10240
Kota Bukittinggi,12816
Kota Payakumbuh,12858
Kota Pariaman,12425
RIAU,10677
Kuantan Singingi,10274
Indragiri Hulu,10223
Indragiri Hilir,10041
Pelalawan,11725
Siak,11898
Kampar,10912
Rokan Hulu,9303
Bengkalis,11530
Rokan Hilir,9250
Kepulauan Meranti,7673
Kota Pekanbaru,14497
Kota Dumai,11699
JAMBI,9880
