kabupaten_kota,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024
Banggai,67.44,68.17,69.0,69.85,70.36,70.52,70.6,71.08,71.7,72.32
Banggai Kepulauan,62.97,63.45,64.07,64.68,65.13,65.42,65.61,66.08,66.82,67.43
Banggai Laut,62.9,63.49,64.08,64.8,65.27,65.43,65.65,66.22,66.93,67.43
Bangka,70.03,70.43,71.09,71.8,72.39,72.4,72.46,72.95,73.66,73.98
Bangka Barat,67.23,67.6,67.94,68.68,69.05,69.08,69.6,70.12,70.45,70.67
Bangka Selatan,63.89,64.57,65.02,65.98,66.54,66.9,67.06,67.95,68.51,68.86
Bangka Tengah,68.66,68.76,68.99,69.52,70.33,70.45,70.89,71.4,71.71,71.9
Bangkalan,61.49,62.06,62.3,62.87,63.79,64.11,64.36,65.05,65.75,66.27
Bangli,66.24,67.03,68.24,68.96,69.35,69.36,69.37,70.26,70.79,71.34
Banjar,66.39,66.87,67.77,68.32,68.94,69.18,69.89,70.72,71.46,71.87
Banjarnegara,64.73,65.52,65.86,66.54,67.34,67.45,67.86,68.61,69.14,69.6
Bantaeng,66.2,66.59,67.27,67.76,68.3,68.73,68.99,69.69,70.57,71.48
Bantul,77.99,78.42,78.67,79.45,80.01,80.01,80.28,80.69,81.39,81.74
Banyu Asin,64.15,65.01,65.85,66.4,66.9,66.74,67.13,67.93,68.65,69.51
Banyumas,69.89,70.49,70.75,71.3,71.96,71.98,72.44,73.17,73.86,74.52
Banyuwangi,68.08,69.0,69.64,70.06,70.6,70.62,71.38,71.94,72.61,73.11
Barito Kuala,63.53,64.33,64.93,65.91,66.24,66.22,66.64,67.37,68.11,68.84
Barito Selatan,68.27,69.0,69.25,69.73,70.1,70.22,70.54,71.01,71.65,72.36
Barito Timur,69.71,70.33,70.57,70.82,71.34,71.39,71.47,72.07,72.7,73.26
Barito Utara,67.38,68.28,69.07,69.72,70.52,70.59,70.79,71.21,71.84,72.31
Barru,68.64,69.07,69.56,70.05,70.6,71.0,71.13,71.53,72.36,73.06
Batang,65.46,66.38,67.35,67.86,68.42,68.65,68.92,69.45,70.2,70.74
Batang Hari,68.05,68.7,68.92,69.33,69.67,69.84,70.11,70.51,71.02,71.67
Batu Bara,66.02,66.69,67.2,67.67,68.35,68.36,68.58,69.51,70.31,70.83
Bekasi,71.19,71.83,72.63,73.49,73.99,74.07,74.45,75.22,75.76,76.44
Belitung,70.29,70.81,70.93,71.7,72.46,72.51,72.57,73.38,74.02,74.47
Belitung Timur,68.83,69.3,69.57,70.22,70.84,70.92,71.42,72.29,72.86,73.19
Belu,60.54,61.04,61.44,61.86,62.54,62.68,62.77,63.22,63.83,64.43
Bener Meriah,70.62,71.42,71.89,72.14,72.97,72.98,73.27,73.9,74.49,75.01
Bengkalis,71.29,71.98,72.27,72.94,73.44,73.46,73.58,74.38,74.97,75.28
Bengkayang,64.65,65.45,65.99,66.85,67.57,67.87,68.04,68.74,69.53,70.3
Bengkulu Selatan,68.57,68.71,69.04,69.85,70.27,70.63,70.75,71.42,71.91,72.35
Bengkulu Tengah,64.68,65.44,65.8,66.65,67.3,67.61,67.96,68.47,68.99,69.84
Bengkulu Utara,67.46,67.63,67.8,68.36,68.8,68.82,69.28,69.77,70.28,71.11
Berau,72.72,73.05,73.56,74.01,74.88,74.71,75.2,75.74,76.21,76.66
Biak Numfor,70.85,71.13,71.56,71.96,72.57,72.19,72.33,72.85,73.46,73.98
Bima,63.48,64.15,65.01,65.62,66.37,66.3,66.66,67.57,68.28,68.94
Bintan,71.92,72.38,72.91,73.41,73.98,74.13,74.57,74.99,75.7,76.18
Bireuen,69.77,70.21,71.11,71.37,72.27,72.28,72.33,73.16,73.63,74.45
Blitar,68.13,68.88,69.33,69.93,70.57,70.58,71.05,71.86,72.49,73.09
Blora,66.22,66.61,67.52,67.95,68.65,68.84,69.37,69.95,70.63,71.39
Boalemo,62.86,63.42,64.22,64.99,65.53,65.91,66.42,67.27,68.18,68.74
Bogor,67.77,68.32,69.13,69.69,70.65,70.4,70.6,71.2,71.78,72.39
Bojonegoro,66.17,66.73,67.28,67.85,68.75,69.04,69.59,70.12,70.85,71.78
Bolaang Mongondow,65.03,65.73,66.08,66.91,67.82,67.89,68.16,68.95,69.62,70.29
Bolaang Mongondow Selatan,63.72,63.92,64.05,64.49,65.28,65.0,65.42,65.9,66.4,67.14
Bolaang Mongondow Timur,63.81,64.44,64.73,65.21,66.08,65.99,66.55,67.21,67.95,68.53
Bolaang Mongondow Utara,64.46,65.16,65.6,66.32,66.91,66.99,67.39,68.06,68.64,69.32
Bombana,63.65,64.02,64.49,65.04,65.65,66.05,66.25,66.81,67.43,68.15
Bondowoso,63.95,64.52,64.75,65.27,66.09,66.43,66.59,67.31,67.99,68.65
Bone,63.11,63.86,64.16,65.04,65.67,66.06,66.4,67.01,67.81,68.36
Bone Bolango,66.83,67.48,68.11,69.06,69.63,69.98,70.25,70.9,71.51,72.38
Boven Digoel,59.02,59.35,60.14,60.83,61.51,61.53,61.62,62.52,63.46,64.26
Boyolali,71.74,72.18,72.64,73.22,73.8,74.25,74.4,74.97,75.41,75.96
Brebes,63.18,63.98,64.86,65.68,66.12,66.11,66.32,67.03,67.95,68.46
Buleleng,70.03,70.65,71.11,71.7,72.3,72.55,72.56,73.45,73.97,74.52
Bulukumba,65.58,66.46,67.08,67.7,68.28,68.99,69.62,70.34,71.21,71.97
Bulungan,69.37,69.88,70.74,71.23,71.66,71.1,71.8,72.08,72.72,73.34
Bungo,68.34,68.77,69.04,69.42,69.86,69.92,70.15,70.55,71.06,71.92
Buol,65.61,66.37,66.69,67.3,67.69,67.82,68.25,68.72,69.57,70.28
Buru,65.75,66.63,67.61,68.25,68.91,68.95,69.33,69.94,70.56,71.01
Buru Selatan,61.48,62.19,62.75,63.62,64.42,64.69,64.8,65.37,66.23,67.09
Buton,62.78,63.69,64.47,65.08,65.67,65.98,66.32,67.23,68.12,68.88
Buton Utara,65.23,65.95,66.4,67.13,67.68,67.87,68.08,69.0,69.7,70.6
Ciamis,68.02,68.45,68.87,69.63,70.39,70.49,70.93,71.45,72.05,72.56
Cianjur,62.42,62.92,63.7,64.62,65.38,65.36,65.56,65.94,66.55,67.24
Cilacap,67.77,68.6,68.9,69.56,69.98,69.95,70.42,70.99,71.83,72.38
Cirebon,66.07,66.7,67.39,68.05,68.69,68.75,69.12,70.06,70.95,71.44
Dairi,69.0,69.61,70.36,70.89,71.42,71.57,71.84,72.56,73.27,73.92
Deiyai,48.28,48.5,49.07,49.55,50.11,49.46,49.96,50.42,51.18,52.07
Deli Serdang,72.79,73.51,73.94,74.92,75.43,75.44,75.53,76.19,76.52,76.92
Demak,69.75,70.1,70.41,71.26,71.87,72.22,72.57,73.36,74.07,74.57
Dharmasraya,69.84,70.25,70.4,70.86,71.52,71.51,71.76,72.3,73.04,74.06
Dogiyai,52.78,53.32,54.04,54.44,55.41,54.84,55.0,55.72,56.7,57.68
Dompu,64.56,65.48,66.33,66.97,67.83,67.84,68.45,69.15,69.98,70.78
Donggala,63.82,64.42,64.66,65.14,65.49,65.56,65.72,66.25,66.95,67.45
Empat Lawang,63.55,64.0,64.21,64.81,65.1,65.25,65.39,66.0,66.68,67.25
Ende,65.54,65.74,66.11,66.62,67.2,67.04,67.3,67.97,68.63,69.11
Enrekang,70.03,70.79,71.44,72.15,72.66,72.76,72.91,73.39,73.89,74.61
Fakfak,64.92,65.55,66.09,66.99,67.87,68.36,68.52,69.12,69.72,70.39
Flores Timur,61.24,61.9,62.89,63.55,64.34,64.22,64.22,64.93,65.79,66.29
Garut,63.21,63.64,64.52,65.42,66.22,66.12,66.45,67.41,68.11,68.79
Gayo Lues,63.67,64.26,65.01,65.88,66.87,67.22,67.56,68.25,68.93,69.83
Gianyar,75.03,75.7,76.09,76.71,77.14,77.36,77.7,78.39,79.24,79.82
Gorontalo,63.63,64.22,64.95,65.78,66.69,66.92,67.34,68.28,69.09,69.66
Gorontalo Utara,62.55,63.02,63.52,64.06,64.52,64.86,65.21,66.01,66.61,67.46
Gowa,66.87,67.7,68.33,68.87,69.66,70.14,70.29,70.99,71.57,72.26
Gresik,73.57,74.46,74.84,75.28,76.1,76.11,76.5,77.16,77.98,78.45
Grobogan,68.05,68.52,68.87,69.32,69.86,69.87,70.41,70.97,71.49,72.02
Gunung Kidul,67.41,67.82,68.73,69.24,69.96,69.98,70.16,70.96,71.24,71.89
Gunung Mas,69.24,69.73,69.95,70.23,70.65,70.81,71.03,71.4,72.09,72.73
Halmahera Barat,62.97,63.83,64.19,64.54,65.34,65.31,65.56,66.2,66.91,67.53
Halmahera Selatan,61.26,62.17,62.64,63.39,64.11,63.84,64.19,65.06,65.83,66.66
Halmahera Tengah,62.07,63.05,63.89,64.66,65.55,65.42,65.82,66.49,67.48,68.45
Halmahera Timur,63.99,64.92,65.77,66.2,66.74,66.75,67.0,67.93,68.82,69.58
Halmahera Utara,65.04,66.02,66.52,67.3,67.75,67.5,67.82,68.38,69.05,69.78
Hulu Sungai Selatan,66.31,67.52,67.8,68.41,68.8,68.85,69.21,69.76,70.5,71.21
Hulu Sungai Tengah,66.56,67.07,67.78,68.32,68.8,68.84,69.05,69.7,70.13,70.69
Hulu Sungai Utara,62.49,63.38,64.21,65.06,65.49,65.59,66.12,66.84,67.66,68.28
Humbang Hasundutan,66.03,66.56,67.3,67.96,68.83,68.87,69.41,70.32,70.75,71.59
Indragiri Hilir,64.8,65.35,66.17,66.51,66.84,66.54,66.63,67.37,67.98,68.38
Indragiri Hulu,68.0,68.67,68.97,69.66,70.05,69.83,70.01,70.46,71.04,71.48
Indramayu,64.36,64.78,65.58,66.36,66.97,67.29,67.64,68.55,69.25,69.83
Intan Jaya,44.35,44.82,45.68,46.55,47.51,47.79,48.34,49.25,50.19,50.71
Jayapura,70.04,70.5,70.97,71.25,71.84,71.69,72.03,72.67,73.5,74.11
Jayawijaya,54.18,54.96,55.99,56.82,57.79,58.03,58.67,59.6,60.5,61.03
Jember,63.04,64.01,64.96,65.96,66.69,67.11,67.32,67.97,68.64,69.15
Jembrana,69.66,70.38,70.72,71.65,72.35,72.36,72.75,73.58,74.04,74.6
Jeneponto,61.61,61.81,62.67,63.33,64.0,64.26,64.56,65.13,65.9,66.38
Jepara,70.02,70.25,70.79,71.38,71.88,71.99,72.36,73.15,73.85,74.32
Jombang,69.59,70.03,70.88,71.86,72.85,72.97,73.45,74.05,74.6,75.1
Kaimana,61.33,62.15,62.74,63.67,64.59,65.0,65.31,66.11,66.72,67.6
Kampar,71.28,71.39,72.19,72.5,73.15,72.83,73.02,73.84,74.24,74.85
Kapuas,66.07,66.98,68.04,68.68,69.38,69.48,69.63,70.01,70.75,71.32
Kapuas Hulu,63.73,63.83,64.18,65.03,65.65,65.69,65.75,66.7,67.67,68.58
Karanganyar,74.26,74.9,75.22,75.54,75.89,75.86,75.99,76.58,77.31,78.11
Karawang,67.66,68.19,69.17,69.89,70.86,70.66,70.94,71.74,72.35,72.9
Karimun,69.21,69.84,70.26,70.56,71.1,71.44,71.7,72.65,73.51,74.28
Karo,72.69,73.29,73.53,73.91,74.25,74.43,74.83,75.36,75.98,76.55
Katingan,66.81,67.41,67.56,67.91,68.55,68.68,68.89,69.74,70.28,70.7
Kaur,64.47,64.95,65.28,66.2,66.78,66.99,67.17,67.77,68.38,68.98
Kayong Utara,60.09,60.87,61.52,61.82,62.66,62.68,62.9,63.81,64.79,65.74
Kebumen,66.87,67.41,68.29,68.8,69.6,69.81,70.05,70.79,71.37,71.93
Kediri,68.91,69.87,70.47,71.07,71.85,72.05,72.56,73.46,73.96,74.44
Keerom,63.43,64.1,64.99,65.75,66.59,66.4,66.49,67.24,68.08,68.68
Kendal,69.57,70.11,70.62,71.28,71.97,72.29,72.5,73.19,73.86,74.34
Kepahiang,65.45,66.35,66.6,67.14,67.67,68.17,68.62,69.09,69.6,70.27
Kepulauan Anambas,65.86,66.3,67.06,67.53,68.48,68.8,69.23,69.61,70.26,70.93
Kepulauan Aru,60.5,61.32,62.13,63.12,63.64,63.71,63.83,64.21,65.01,65.83
Kepulauan Mentawai,57.41,58.27,59.25,60.28,61.26,61.09,61.35,62.19,63.13,63.99
Kepulauan Meranti,63.25,63.9,64.7,65.23,65.93,65.5,65.7,66.52,67.28,67.92
Kepulauan Sangihe,67.56,68.52,69.14,69.67,70.53,70.73,71.07,71.63,72.22,72.71
Kepulauan Selayar,64.32,64.95,65.39,66.04,66.91,67.38,67.76,68.35,69.2,70.03
Kepulauan Sula,60.5,61.25,62.04,62.96,63.64,63.53,63.8,64.7,65.29,65.99
Kepulauan Talaud,66.92,67.58,67.74,68.32,68.97,69.4,69.83,70.43,71.14,71.77
Kepulauan Yapen,65.28,65.55,66.07,67.0,67.76,67.66,67.72,68.41,69.11,69.65
Kerinci,68.89,69.68,70.03,70.59,70.95,71.21,71.45,71.99,72.54,73.11
Ketapang,64.03,64.74,65.71,66.41,67.16,67.17,67.43,67.92,68.68,69.42
Klaten,73.81,73.97,74.25,74.79,75.29,75.56,76.12,76.95,77.59,78.16
Klungkung,68.98,69.31,70.13,70.9,71.71,71.73,71.75,72.55,73.11,74.04
Kolaka,70.47,71.12,71.46,72.07,73.01,73.45,73.56,73.98,74.72,75.18
Kolaka Timur,62.74,63.6,64.55,65.53,66.49,67.02,67.76,68.73,69.57,70.27
Kolaka Utara,66.9,67.6,67.77,68.44,68.91,69.31,69.5,70.39,71.04,71.7
Konawe,69.56,69.84,70.24,70.72,71.29,71.35,71.48,72.04,72.77,73.39
Konawe Kepulauan,61.72,62.56,63.44,64.36,65.05,65.41,65.73,66.69,67.32,67.99
Konawe Selatan,66.32,66.97,67.23,67.51,67.88,68.2,68.58,69.36,70.32,71.19
Konawe Utara,66.44,67.2,67.71,68.5,69.22,69.86,70.23,71.1,71.71,72.32
Kota Ambon,79.3,79.55,79.82,80.24,80.81,80.84,81.23,81.63,82.06,82.56
Kota Balikpapan,78.18,78.57,79.01,79.81,80.11,80.01,80.71,81.13,81.66,82.24
Kota Banda Aceh,83.25,83.73,83.95,84.37,85.07,85.41,85.71,86.28,86.69,87.17
Kota Bandar Lampung,74.81,75.34,75.98,76.63,77.33,77.44,77.58,78.01,78.56,79.19
Kota Bandung,79.67,80.13,80.31,81.06,81.62,81.51,81.96,82.5,83.04,83.52
Kota Banjar,69.31,70.09,70.79,71.25,71.75,71.7,71.92,72.55,73.08,73.64
Kota Banjar Baru,77.56,77.96,78.32,78.83,79.22,79.1,79.26,79.68,80.11,80.51
Kota Banjarmasin,75.41,75.94,76.46,76.83,77.16,77.1,77.57,77.97,78.5,79.05
Kota Batam,79.34,79.79,80.26,80.54,81.09,81.11,81.12,81.67,82.11,82.86
Kota Batu,72.62,73.57,74.26,75.04,75.88,75.9,76.28,77.22,78.18,78.79
Kota Baubau,73.59,73.99,74.14,74.67,75.21,75.9,76.26,76.67,77.52,78.13
Kota Bekasi,79.63,79.95,80.3,81.04,81.59,81.5,81.95,82.46,83.03,83.54
Kota Bengkulu,77.16,77.94,78.82,79.67,80.35,80.36,80.54,80.99,81.45,82.04
Kota Bima,72.99,73.67,74.36,75.04,75.8,75.81,76.11,76.84,77.36,78.04
Kota Binjai,73.81,74.11,74.65,75.21,75.89,75.89,76.01,76.95,77.6,78.1
Kota Bitung,71.64,72.43,72.94,73.27,74.2,74.1,74.2,74.7,75.11,75.71
Kota Blitar,76.0,76.71,77.1,77.58,78.56,78.57,78.98,79.93,80.63,81.27
Kota Bogor,73.65,74.5,75.16,75.66,76.23,76.11,76.59,77.17,77.85,78.52
Kota Bontang,78.78,78.92,79.47,79.86,80.09,80.02,80.59,80.94,81.56,82.42
Kota Bukittinggi,78.72,79.11,79.8,80.11,80.71,80.58,80.7,81.42,81.78,82.51
Kota Cilegon,71.81,72.04,72.29,72.65,73.01,73.05,73.35,73.95,74.54,75.14
Kota Cimahi,76.42,76.69,76.95,77.56,78.11,77.83,78.06,78.77,79.46,80.08
Kota Cirebon,73.34,73.7,74.0,74.35,74.92,74.89,75.25,75.89,76.46,77.08
Kota Denpasar,82.24,82.58,83.01,83.3,83.68,83.93,84.03,84.37,84.73,85.22
Kota Depok,79.11,79.6,79.83,80.29,80.82,80.97,81.37,81.86,82.38,82.91
Kota Dumai,72.2,72.96,73.46,74.06,74.64,74.4,74.75,75.26,75.66,76.19
Kota Gorontalo,75.62,75.75,76.09,76.53,77.08,77.13,77.41,78.22,78.64,79.18
Kota Gunungsitoli,66.41,66.85,67.68,68.33,69.3,69.31,69.61,70.23,70.68,71.41
