kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Dairi,263359.0,293666.0,310836.0,325176.0,341511.0,380275.0,408893.0,436713.0,463360.0,502924.0,69.0,69.61,70.36,70.89,71.42,71.57,71.84,72.56,73.27,73.92,9708.0,10190.0,10395.0,10492.0,10602.0,10350.0,10504.0,10740.0,10969.0,11355.0
Deiyai,483206.0,503898.0,556281.0,561857.0,579263.0,608868.0,627742.0,647902.0,709749.0,770492.0,48.28,48.5,49.07,49.55,50.11,49.46,49.96,50.42,51.18,52.07,4320.0,4383.0,4597.0,4761.0,4958.0,4632.0,4673.0,4808.0,5104.0,5509.0
Deli Serdang,304183.0,347030.0,363371.0,381173.0,390440.0,413202.0,428123.0,448489.0,479509.0,508139.0,72.79,73.51,73.94,74.92,75.43,75.44,75.53,76.19,76.52,76.92,11359.0,11683.0,11891.0,12132.0,12317.0,12225.0,12291.0,12657.0,12890.0,13279.0
Demak,328529.0,356919.0,371525.0,402211.0,411202.0,432533.0,445176.0,471818.0,511145.0,535134.0,69.75,70.1,70.41,71.26,71.87,72.22,72.57,73.36,74.07,74.57,9118.0,9377.0,9544.0,10001.0,10344.0,10128.0,10248.0,10698.0,11166.0,11591.0
Dharmasraya,335151.0,374642.0,398408.0,414096.0,439117.0,477421.0,503183.0,530693.0,581058.0,622190.0,69.84,70.25,70.4,70.86,71.52,71.51,71.76,72.3,73.04,74.06,10713.0,10781.0,10851.0,11189.0,11431.0,11273.0,11324.0,11650.0,11901.0,12254.0
Dogiyai,385923.0,427149.0,471762.0,477674.0,492905.0,512654.0,557009.0,592213.0,653007.0,709423.0,52.78,53.32,54.04,54.44,55.41,54.84,55.0,55.72,56.7,57.68,5120.0,5190.0,5375.0,5522.0,5709.0,5373.0,5415.0,5705.0,6182.0,6755.0
Dompu,243467.0,263458.0,266483.0,284188.0,328740.0,362142.0,370120.0,404413.0,442451.0,469647.0,64.56,65.48,66.33,66.97,67.83,67.84,68.45,69.15,69.98,70.78,7479.0,7819.0,8351.0,8743.0,9027.0,8889.0,8899.0,9203.0,9404.0,9971.0
Donggala,251529.0,281374.0,291011.0,308212.0,336404.0,360483.0,369784.0,395028.0,421493.0,438396.0,63.82,64.42,64.66,65.14,65.49,65.56,65.72,66.25,66.95,67.45,7407.0,7802.0,7924.0,8106.0,8189.0,7960.0,8002.0,8303.0,8766.0,9117.0
Empat Lawang,243132.0,269211.0,280350.0,306546.0,315699.0,341007.0,360378.0,384199.0,411191.0,421747.0,63.55,64.0,64.21,64.81,65.1,65.25,65.39,66.0,66.68,67.25,8727.0,8944.0,9010.0,9450.0,9594.0,9350.0,9400.0,9838.0,10375.0,10889.0
Ende,291770.0,315095.0,341219.0,358986.0,363508.0,392591.0,428328.0,473403.0,518939.0,528259.0,65.54,65.74,66.11,66.62,67.2,67.04,67.3,67.97,68.63,69.11,8679.0,8801.0,8841.0,8995.0,9315.0,9094.0,9027.0,9413.0,9739.0,10009.0
Enrekang,258472.0,275971.0,283653.0,312674.0,331667.0,338731.0,352147.0,371669.0,408198.0,427556.0,70.03,70.79,71.44,72.15,72.66,72.76,72.91,73.39,73.89,74.61,9818.0,10188.0,10359.0,10683.0,10800.0,10844.0,10973.0,11183.0,11636.0,12138.0
Fakfak,433491.0,446531.0,473950.0,498184.0,544783.0,578510.0,596406.0,628418.0,671021.0,725257.0,64.92,65.55,66.09,66.99,67.87,68.36,68.52,69.12,69.72,70.39,6796.0,6935.0,7057.0,7357.0,7608.0,7599.0,7446.0,7678.0,7851.0,8159.0
Flores Timur,226252.0,246851.0,267317.0,281757.0,279268.0,301611.0,329340.0,364117.0,405486.0,412744.0,61.24,61.9,62.89,63.55,64.34,64.22,64.22,64.93,65.79,66.29,7150.0,7237.0,7442.0,7573.0,7770.0,7631.0,7578.0,7918.0,8223.0,8505.0
Garut,241068.0,256770.0,267252.0,282683.0,301202.0,310437.0,320050.0,335134.0,367681.0,393464.0,63.21,63.64,64.52,65.42,66.22,66.12,66.45,67.41,68.11,68.79,6875.0,7079.0,7270.0,7597.0,8099.0,7876.0,7961.0,8227.0,8685.0,9168.0
Gayo Lues,286882.0,301546.0,323482.0,368583.0,387893.0,425529.0,438689.0,470221.0,514836.0,557201.0,63.67,64.26,65.01,65.88,66.87,67.22,67.56,68.25,68.93,69.83,7780.0,8048.0,8322.0,8529.0,8845.0,8791.0,8856.0,9094.0,9407.0,9967.0
Gianyar,320805.0,339414.0,358496.0,378561.0,382380.0,400079.0,407945.0,434163.0,468307.0,500797.0,75.03,75.7,76.09,76.71,77.14,77.36,77.7,78.39,79.24,79.82,13578.0,13766.0,14222.0,14376.0,14623.0,14544.0,14391.0,14630.0,15047.0,15577.0
Gorontalo,343373.0,368863.0,382722.0,409179.0,425827.0,475102.0,502964.0,531294.0,568430.0,605743.0,63.63,64.22,64.95,65.78,66.69,66.92,67.34,68.28,69.09,69.66,8398.0,8589.0,8828.0,9071.0,9361.0,9277.0,9412.0,9850.0,10336.0,10645.0
Gorontalo Utara,222054.0,238621.0,251054.0,267806.0,278746.0,311200.0,327531.0,346557.0,371302.0,387535.0,62.55,63.02,63.52,64.06,64.52,64.86,65.21,66.01,66.61,67.46,8178.0,8270.0,8480.0,8780.0,8982.0,8921.0,9064.0,9636.0,10037.0,10476.0
Gowa,306328.0,316428.0,333002.0,365503.0,385820.0,390917.0,408435.0,429222.0,456719.0,475305.0,66.87,67.7,68.33,68.87,69.66,70.14,70.29,70.99,71.57,72.26,8578.0,8717.0,9009.0,9179.0,9369.0,9394.0,9504.0,9812.0,10233.0,10700.0
Gresik,372661.0,393447.0,414261.0,438704.0,466154.0,492628.0,505499.0,536544.0,588316.0,608828.0,73.57,74.46,74.84,75.28,76.1,76.11,76.5,77.16,77.98,78.45,11548.0,11961.0,12375.0,12845.0,13295.0,13246.0,13280.0,13384.0,13870.0,14356.0
Grobogan,303455.0,333009.0,345379.0,366192.0,375521.0,395001.0,404456.0,428597.0,464614.0,489208.0,68.05,68.52,68.87,69.32,69.86,69.87,70.41,70.97,71.49,72.02,9457.0,9487.0,9716.0,10097.0,10350.0,10221.0,10294.0,10610.0,11083.0,11548.0
Gunung Kidul,250630.0,264637.0,277261.0,288748.0,301125.0,319851.0,325907.0,350739.0,382249.0,401209.0,67.41,67.82,68.73,69.24,69.96,69.98,70.16,70.96,71.24,71.89,8336.0,8467.0,8788.0,9163.0,9612.0,9486.0,9505.0,9874.0,10065.0,10630.0
Gunung Mas,356866.0,365198.0,388415.0,388864.0,403045.0,438881.0,456984.0,479550.0,526341.0,562332.0,69.24,69.73,69.95,70.23,70.65,70.81,71.03,71.4,72.09,72.73,10044.0,10155.0,10276.0,10504.0,10822.0,10793.0,10809.0,10990.0,11462.0,11902.0
Halmahera Barat,269068.0,293118.0,302921.0,316381.0,324849.0,339283.0,358707.0,379108.0,414870.0,455327.0,62.97,63.83,64.19,64.54,65.34,65.31,65.56,66.2,66.91,67.53,6889.0,7076.0,7266.0,7418.0,7660.0,7352.0,7467.0,7636.0,8046.0,8426.0
Halmahera Selatan,245113.0,266155.0,273849.0,290627.0,310161.0,324767.0,343323.0,362100.0,400768.0,449334.0,61.26,62.17,62.64,63.39,64.11,63.84,64.19,65.06,65.83,66.66,6791.0,6894.0,7026.0,7156.0,7298.0,7068.0,7142.0,7479.0,7883.0,8210.0
Halmahera Tengah,361983.0,397379.0,410708.0,429805.0,454180.0,466973.0,491657.0,507555.0,552350.0,593903.0,62.07,63.05,63.89,64.66,65.55,65.42,65.82,66.49,67.48,68.45,7359.0,7481.0,7688.0,7885.0,8258.0,7841.0,7966.0,8212.0,8675.0,9140.0
Halmahera Timur,441911.0,494245.0,509725.0,510899.0,545238.0,569464.0,600339.0,624983.0,631233.0,655936.0,63.99,64.92,65.77,66.2,66.74,66.75,67.0,67.93,68.82,69.58,7410.0,7560.0,7841.0,7969.0,8127.0,7876.0,7973.0,8230.0,8650.0,8999.0
Halmahera Utara,195091.0,208832.0,215837.0,228092.0,238878.0,248544.0,263507.0,301041.0,378968.0,425857.0,65.04,66.02,66.52,67.3,67.75,67.5,67.82,68.38,69.05,69.78,6957.0,7110.0,7302.0,7519.0,7713.0,7414.0,7519.0,7774.0,8152.0,8607.0
Hulu Sungai Selatan,365097.0,409235.0,431296.0,444455.0,461581.0,528622.0,494203.0,516857.0,547855.0,583549.0,66.31,67.52,67.8,68.41,68.8,68.85,69.21,69.76,70.5,71.21,11161.0,11623.0,11890.0,12535.0,12835.0,12672.0,12736.0,13157.0,13743.0,14150.0
Hulu Sungai Tengah,279530.0,322392.0,341024.0,354214.0,365008.0,417778.0,425438.0,444331.0,475655.0,513950.0,66.56,67.07,67.78,68.32,68.8,68.84,69.05,69.7,70.13,70.69,11142.0,11527.0,11635.0,12138.0,12257.0,12153.0,12280.0,12448.0,12782.0,13176.0
Hulu Sungai Utara,346066.0,385338.0,407608.0,420783.0,436997.0,488237.0,501994.0,526919.0,561429.0,597894.0,62.49,63.38,64.21,65.06,65.49,65.59,66.12,66.84,67.66,68.28,8298.0,8668.0,9100.0,9567.0,9772.0,9527.0,9644.0,10132.0,10491.0,10981.0
Humbang Hasundutan,262317.0,301663.0,313545.0,329189.0,336500.0,374768.0,397237.0,419180.0,451625.0,487256.0,66.03,66.56,67.3,67.96,68.83,68.87,69.41,70.32,70.75,71.59,6889.0,7135.0,7412.0,7630.0,7902.0,7850.0,8016.0,8250.0,8476.0,8844.0
Indragiri Hilir,295781.0,315988.0,368134.0,435202.0,450728.0,495305.0,518283.0,568879.0,597122.0,629570.0,64.8,65.35,66.17,66.51,66.84,66.54,66.63,67.37,67.98,68.38,9787.0,9911.0,10041.0,10254.0,10382.0,9954.0,9945.0,10234.0,10659.0,11050.0
Indragiri Hulu,396088.0,419737.0,432589.0,457871.0,474298.0,522110.0,549563.0,584910.0,626671.0,660349.0,68.0,68.67,68.97,69.66,70.05,69.83,70.01,70.46,71.04,71.48,9776.0,10068.0,10223.0,10481.0,10738.0,10202.0,10260.0,10472.0,10957.0,11333.0
Indramayu,379088.0,397196.0,413857.0,447378.0,458240.0,474807.0,481754.0,499805.0,532545.0,560159.0,64.36,64.78,65.58,66.36,66.97,67.29,67.64,68.55,69.25,69.83,8769.0,8866.0,9014.0,9633.0,10090.0,9859.0,9810.0,10166.0,10580.0,11010.0
Intan Jaya,501749.0,542007.0,598436.0,606138.0,627128.0,662465.0,725106.0,769993.0,853098.0,948843.0,44.35,44.82,45.68,46.55,47.51,47.79,48.34,49.25,50.19,50.71,5015.0,5038.0,5293.0,5440.0,5593.0,5283.0,5328.0,5624.0,6140.0,6463.0
Jayapura,454989.0,464519.0,489932.0,549489.0,589521.0,601005.0,624845.0,651581.0,706549.0,729234.0,70.04,70.5,70.97,71.25,71.84,71.69,72.03,72.67,73.5,74.11,9622.0,9653.0,10055.0,10160.0,10375.0,9898.0,9989.0,10230.0,10671.0,10848.0
Jayawijaya,349878.0,367804.0,406219.0,409846.0,420471.0,461058.0,501075.0,524173.0,566319.0,722258.0,54.18,54.96,55.99,56.82,57.79,58.03,58.67,59.6,60.5,61.03,7068.0,7282.0,7524.0,7637.0,7835.0,7441.0,7545.0,7765.0,8159.0,8534.0
Jember,283510.0,299823.0,310650.0,324174.0,339685.0,365295.0,380397.0,400961.0,441171.0,459043.0,63.04,64.01,64.96,65.96,66.69,67.11,67.32,67.97,68.64,69.15,8255.0,8409.0,8698.0,9090.0,9525.0,9294.0,9410.0,9840.0,10277.0,10700.0
Jembrana,330073.0,354901.0,374057.0,385959.0,390102.0,403462.0,434839.0,458214.0,496435.0,531164.0,69.66,70.38,70.72,71.65,72.35,72.36,72.75,73.58,74.04,74.6,11168.0,11343.0,11468.0,11666.0,11902.0,11790.0,11675.0,11915.0,12236.0,12638.0
Jeneponto,291408.0,302113.0,315702.0,356319.0,359883.0,366453.0,374407.0,384299.0,405280.0,416231.0,61.61,61.81,62.67,63.33,64.0,64.26,64.56,65.13,65.9,66.38,8489.0,8559.0,8747.0,8957.0,9078.0,9114.0,9215.0,9425.0,9781.0,10158.0
Jepara,314422.0,341754.0,355607.0,371296.0,386693.0,407056.0,419028.0,442618.0,479131.0,503832.0,70.02,70.25,70.79,71.38,71.88,71.99,72.36,73.15,73.85,74.32,9504.0,9695.0,9745.0,10169.0,10609.0,10343.0,10536.0,10913.0,11306.0,11729.0
Jombang,316922.0,337217.0,353456.0,374895.0,399633.0,410116.0,421172.0,448830.0,488754.0,514170.0,69.59,70.03,70.88,71.86,72.85,72.97,73.45,74.05,74.6,75.1,9963.0,10237.0,10560.0,10999.0,11533.0,11261.0,11394.0,11579.0,11999.0,12454.0
Kaimana,336596.0,342293.0,363581.0,386576.0,412130.0,438991.0,450301.0,511011.0,609865.0,682231.0,61.33,62.15,62.74,63.67,64.59,65.0,65.31,66.11,66.72,67.6,7341.0,7538.0,7752.0,8071.0,8304.0,8325.0,8151.0,8453.0,8749.0,9242.0
Kampar,360324.0,375716.0,398138.0,419306.0,434601.0,460991.0,477603.0,502670.0,547696.0,590444.0,71.28,71.39,72.19,72.5,73.15,72.83,73.02,73.84,74.24,74.85,10710.0,10765.0,10912.0,11128.0,11232.0,10796.0,10858.0,11394.0,11662.0,12034.0
Kapuas,252866.0,266943.0,283222.0,291820.0,305809.0,332999.0,345272.0,424066.0,485958.0,508022.0,66.07,66.98,68.04,68.68,69.38,69.48,69.63,70.01,70.75,71.32,9894.0,10287.0,10421.0,10738.0,11063.0,11015.0,11148.0,11377.0,11829.0,12265.0
Kapuas Hulu,346335.0,369981.0,384275.0,430652.0,452471.0,465360.0,481826.0,508087.0,543301.0,572644.0,63.73,63.83,64.18,65.03,65.65,65.69,65.75,66.7,67.67,68.58,6640.0,6691.0,6883.0,7074.0,7206.0,7162.0,7168.0,7668.0,8055.0,8470.0
Karanganyar,303056.0,329531.0,340538.0,348896.0,365151.0,385563.0,401542.0,424677.0,465703.0,491551.0,74.26,74.9,75.22,75.54,75.89,75.86,75.99,76.58,77.31,78.11,10486.0,10722.0,10933.0,11223.0,11569.0,11428.0,11509.0,11798.0,12260.0,12732.0
Karawang,363105.0,386282.0,408579.0,433972.0,440347.0,466152.0,494201.0,521158.0,555889.0,597345.0,67.66,68.19,69.17,69.89,70.86,70.66,70.94,71.74,72.35,72.9,10217.0,10379.0,10703.0,11277.0,11856.0,11315.0,11522.0,11927.0,12392.0,12942.0
Karimun,309558.0,338341.0,354526.0,360087.0,376853.0,411052.0,422961.0,446856.0,468332.0,492654.0,69.21,69.84,70.26,70.56,71.1,71.44,71.7,72.65,73.51,74.28,11248.0,11468.0,11713.0,11945.0,12136.0,11885.0,11879.0,12304.0,12756.0,13287.0
Karo,357954.0,400261.0,423663.0,437702.0,460870.0,500921.0,531519.0,563660.0,606244.0,656812.0,72.69,73.29,73.53,73.91,74.25,74.43,74.83,75.36,75.98,76.55,11800.0,11925.0,12059.0,12367.0,12474.0,12349.0,12412.0,12554.0,12779.0,13278.0
Katingan,356695.0,387848.0,412113.0,420418.0,434609.0,474056.0,498487.0,553082.0,589596.0,615575.0,66.81,67.41,67.56,67.91,68.55,68.68,68.89,69.74,70.28,70.7,9599.0,9969.0,10029.0,10327.0,10639.0,10548.0,10568.0,11036.0,11399.0,11691.0
Kaur,262881.0,289374.0,310047.0,317558.0,322815.0,338451.0,350794.0,371660.0,415715.0,432939.0,64.47,64.95,65.28,66.2,66.78,66.99,67.17,67.77,68.38,68.98,7599.0,7842.0,7914.0,8284.0,8594.0,8593.0,8638.0,9009.0,9365.0,9742.0
Kayong Utara,230320.0,244046.0,260114.0,287078.0,302811.0,311643.0,321356.0,339089.0,365262.0,386071.0,60.09,60.87,61.52,61.82,62.66,62.68,62.9,63.81,64.79,65.74,6950.0,7030.0,7434.0,7552.0,7905.0,7842.0,7920.0,8234.0,8594.0,9016.0
Kebumen,292177.0,313881.0,325819.0,342437.0,362847.0,380557.0,390599.0,416004.0,451678.0,471824.0,66.87,67.41,68.29,68.8,69.6,69.81,70.05,70.79,71.37,71.93,8008.0,8276.0,8446.0,8757.0,9066.0,8901.0,9028.0,9282.0,9734.0,10176.0
Kediri,261088.0,272374.0,281012.0,294098.0,305491.0,324215.0,335990.0,353033.0,385874.0,403621.0,68.91,69.87,70.47,71.07,71.85,72.05,72.56,73.46,73.96,74.44,9883.0,10140.0,10326.0,10853.0,11146.0,11000.0,11127.0,11565.0,11952.0,12388.0
Keerom,460199.0,504460.0,532499.0,597230.0,655056.0,677050.0,704998.0,744805.0,807097.0,832766.0,63.43,64.1,64.99,65.75,66.59,66.4,66.49,67.24,68.08,68.68,8609.0,8671.0,8824.0,8918.0,9136.0,8910.0,8926.0,9153.0,9545.0,9967.0
Kendal,301449.0,323078.0,335497.0,353127.0,369769.0,396691.0,407387.0,433864.0,465936.0,488940.0,69.57,70.11,70.62,71.28,71.97,72.29,72.5,73.19,73.86,74.34,10419.0,10631.0,10863.0,11257.0,11597.0,11425.0,11608.0,11999.0,12755.0,13277.0
Kepahiang,293731.0,323333.0,348238.0,361281.0,374568.0,396184.0,410569.0,433660.0,465292.0,488445.0,65.45,66.35,66.6,67.14,67.67,68.17,68.62,69.09,69.6,70.27,8605.0,8701.0,8866.0,9135.0,9243.0,9273.0,9377.0,9708.0,10044.0,10620.0
Kepulauan Anambas,313042.0,341556.0,356046.0,366917.0,382449.0,416877.0,429475.0,452220.0,481718.0,504332.0,65.86,66.3,67.06,67.53,68.48,68.8,69.23,69.61,70.26,70.93,11251.0,11320.0,11654.0,11894.0,12065.0,11875.0,11950.0,12137.0,12495.0,12983.0
Kepulauan Aru,312520.0,337180.0,352151.0,412665.0,438848.0,490565.0,516604.0,562416.0,626086.0,644112.0,60.5,61.32,62.13,63.12,63.64,63.71,63.83,64.21,65.01,65.83,6941.0,7080.0,7334.0,7518.0,7678.0,7586.0,7623.0,7733.0,8133.0,8488.0
Kepulauan Mentawai,235987.0,263793.0,280695.0,294284.0,310033.0,340191.0,356403.0,386152.0,421113.0,461088.0,57.41,58.27,59.25,60.28,61.26,61.09,61.35,62.19,63.13,63.99,5684.0,5771.0,6010.0,6211.0,6429.0,6281.0,6321.0,6567.0,6891.0,7192.0
Kepulauan Meranti,403535.0,427938.0,445025.0,462535.0,483377.0,520955.0,542599.0,568639.0,623576.0,661863.0,63.25,63.9,64.7,65.23,65.93,65.5,65.7,66.52,67.28,67.92,7030.0,7194.0,7673.0,7978.0,8358.0,7790.0,7780.0,8246.0,8613.0,8988.0
Kepulauan Sangihe,215355.0,232736.0,240321.0,250475.0,263268.0,272971.0,283852.0,292549.0,313945.0,328431.0,67.56,68.52,69.14,69.67,70.53,70.73,71.07,71.63,72.22,72.71,10536.0,10959.0,11111.0,11397.0,11663.0,11427.0,11524.0,11631.0,11946.0,12409.0
Kepulauan Selayar,286032.0,296540.0,310978.0,348608.0,370380.0,396822.0,406732.0,430976.0,453432.0,468755.0,64.32,64.95,65.39,66.04,66.91,67.38,67.76,68.35,69.2,70.03,7793.0,8123.0,8436.0,8666.0,9028.0,8970.0,9060.0,9446.0,9830.0,10235.0
Kepulauan Sula,284471.0,315133.0,320854.0,337543.0,359497.0,372561.0,391912.0,414512.0,453476.0,485242.0,60.5,61.25,62.04,62.96,63.64,63.53,63.8,64.7,65.29,65.99,6545.0,6741.0,6859.0,7044.0,7221.0,6950.0,7040.0,7417.0,7718.0,8020.0
Kepulauan Talaud,228813.0,246757.0,257294.0,265839.0,284681.0,294686.0,308395.0,319974.0,352120.0,364581.0,66.92,67.58,67.74,68.32,68.97,69.4,69.83,70.43,71.14,71.77,8008.0,8184.0,8268.0,8525.0,8638.0,8505.0,8558.0,8869.0,9146.0,9512.0
Kepulauan Yapen,512934.0,536501.0,592535.0,600161.0,618487.0,653819.0,688204.0,716343.0,757676.0,782033.0,65.28,65.55,66.07,67.0,67.76,67.66,67.72,68.41,69.11,69.65,7320.0,7414.0,7605.0,7739.0,7785.0,7484.0,7491.0,7685.0,8091.0,8409.0
Kerinci,275265.0,285406.0,309941.0,333978.0,356059.0,385571.0,396168.0,443408.0,485838.0,606095.0,68.89,69.68,70.03,70.59,70.95,71.21,71.45,71.99,72.54,73.11,9076.0,9374.0,9501.0,9951.0,10198.0,9995.0,10184.0,10570.0,10965.0,11441.0
Ketapang,356319.0,366250.0,391868.0,432354.0,454160.0,468450.0,482824.0,499724.0,539108.0,570638.0,64.03,64.74,65.71,66.41,67.16,67.17,67.43,67.92,68.68,69.42,8350.0,8430.0,8475.0,8988.0,9259.0,9163.0,9209.0,9426.0,9984.0,10472.0
Klaten,340484.0,364240.0,376305.0,397447.0,405537.0,419510.0,436896.0,458872.0,488102.0,505826.0,73.81,73.97,74.25,74.79,75.29,75.56,76.12,76.95,77.59,78.16,11178.0,11227.0,11369.0,11738.0,12074.0,11921.0,12017.0,12522.0,12968.0,13513.0
Klungkung,264866.0,284789.0,299664.0,310764.0,312864.0,318139.0,342043.0,359415.0,384983.0,411010.0,68.98,69.31,70.13,70.9,71.71,71.73,71.75,72.55,73.11,74.04,10711.0,10852.0,11005.0,11318.0,11484.0,11376.0,11287.0,11500.0,11760.0,12358.0
Kolaka,292370.0,320897.0,327329.0,349388.0,370036.0,406919.0,432858.0,448100.0,464000.0,477917.0,70.47,71.12,71.46,72.07,73.01,73.45,73.56,73.98,74.72,75.18,11942.0,12072.0,12243.0,12384.0,12525.0,12515.0,12525.0,12639.0,13055.0,13534.0
Kolaka Timur,291862.0,314387.0,323956.0,345216.0,369870.0,405341.0,431179.0,458563.0,513085.0,525091.0,62.74,63.6,64.55,65.53,66.49,67.02,67.76,68.73,69.57,70.27,7157.0,7283.0,7499.0,7606.0,7832.0,7727.0,7753.0,8155.0,8520.0,9012.0
Kolaka Utara,356680.0,388041.0,406334.0,453994.0,454127.0,494836.0,506903.0,511972.0,517092.0,529192.0,66.9,67.6,67.77,68.44,68.91,69.31,69.5,70.39,71.04,71.7,9535.0,9846.0,9941.0,10133.0,10258.0,10218.0,10244.0,10721.0,11020.0,11650.0
Konawe,241617.0,260264.0,267331.0,283109.0,293801.0,323180.0,343781.0,363645.0,400581.0,425029.0,69.56,69.84,70.24,70.72,71.29,71.35,71.48,72.04,72.77,73.39,9471.0,9696.0,9857.0,10004.0,10200.0,10126.0,10151.0,10552.0,10963.0,11415.0
Konawe Kepulauan,240679.0,263229.0,271241.0,294035.0,314815.0,335414.0,347332.0,370692.0,393000.0,415880.0,61.72,62.56,63.44,64.36,65.05,65.41,65.73,66.69,67.32,67.99,6093.0,6227.0,6458.0,6601.0,6832.0,6700.0,6738.0,7192.0,7564.0,7996.0
Konawe Selatan,181796.0,195175.0,200663.0,219979.0,235654.0,261382.0,275339.0,294510.0,331620.0,354696.0,66.32,66.97,67.23,67.51,67.88,68.2,68.58,69.36,70.32,71.19,8386.0,8660.0,8798.0,8914.0,9115.0,9037.0,9059.0,9347.0,9753.0,10250.0
Konawe Utara,216578.0,232307.0,244391.0,260861.0,273544.0,305100.0,321986.0,340061.0,381620.0,407710.0,66.44,67.2,67.71,68.5,69.22,69.86,70.23,71.1,71.71,72.32,8619.0,8822.0,8943.0,9050.0,9215.0,9165.0,9181.0,9666.0,10113.0,10658.0
Kota Ambon,473236.0,486931.0,514690.0,532719.0,571315.0,596042.0,621482.0,661016.0,716560.0,750166.0,79.3,79.55,79.82,80.24,80.81,80.84,81.23,81.63,82.06,82.56,13318.0,13497.0,13699.0,13993.0,14233.0,14116.0,14148.0,14405.0,14692.0,15196.0
Kota Balikpapan,485665.0,498721.0,530710.0,545971.0,572108.0,613622.0,657521.0,680499.0,743084.0,782248.0,78.18,78.57,79.01,79.81,80.11,80.01,80.71,81.13,81.66,82.24,13705.0,13883.0,14254.0,14557.0,14791.0,14549.0,14862.0,15455.0,16195.0,16854.0
Kota Banda Aceh,523444.0,541732.0,572295.0,607391.0,628493.0,674977.0,698617.0,737016.0,814530.0,862944.0,83.25,83.73,83.95,84.37,85.07,85.41,85.71,86.28,86.69,87.17,15362.0,15737.0,15917.0,16234.0,16892.0,16778.0,16891.0,17228.0,17521.0,18100.0
Kota Bandar Lampung,476055.0,502968.0,540679.0,562277.0,588177.0,634743.0,654576.0,698598.0,761790.0,787260.0,74.81,75.34,75.98,76.63,77.33,77.44,77.58,78.01,78.56,79.19,11090.0,11266.0,11699.0,11952.0,12255.0,12197.0,12247.0,12593.0,13092.0,13667.0
Kota Bandung,376311.0,400541.0,420579.0,448902.0,474448.0,500452.0,515396.0,545675.0,591124.0,614707.0,79.67,80.13,80.31,81.06,81.62,81.51,81.96,82.5,83.04,83.52,15609.0,15805.0,16033.0,16630.0,17254.0,16887.0,16996.0,17639.0,18236.0,18795.0
Kota Banjar,271017.0,289369.0,305603.0,324958.0,334590.0,344363.0,357210.0,373510.0,408710.0,430590.0,69.31,70.09,70.79,71.25,71.75,71.7,71.92,72.55,73.08,73.64,9476.0,9815.0,9987.0,10329.0,10705.0,10535.0,10476.0,10967.0,11356.0,11811.0
Kota Banjar Baru,463579.0,505380.0,539608.0,572195.0,614757.0,652030.0,653556.0,692830.0,753899.0,781405.0,77.56,77.96,78.32,78.83,79.22,79.1,79.26,79.68,80.11,80.51,12467.0,12879.0,13279.0,13590.0,13949.0,13675.0,13789.0,14136.0,14524.0,14927.0
Kota Banjarmasin,384659.0,417174.0,445428.0,477210.0,509773.0,543546.0,606330.0,651383.0,708617.0,743872.0,75.41,75.94,76.46,76.83,77.16,77.1,77.57,77.97,78.5,79.05,12834.0,13417.0,13899.0,14256.0,14547.0,14306.0,14432.0,14770.0,15280.0,15714.0
Kota Batam,525452.0,565380.0,591589.0,650406.0,686956.0,707856.0,740109.0,783730.0,854465.0,903960.0,79.34,79.79,80.26,80.54,81.09,81.11,81.12,81.67,82.11,82.86,16826.0,16889.0,17131.0,17560.0,18146.0,18095.0,18034.0,18506.0,18990.0,19668.0
Kota Batu,380393.0,398401.0,424354.0,467073.0,501016.0,509886.0,522819.0,564010.0,613985.0,642778.0,72.62,73.57,74.26,75.04,75.88,75.9,76.28,77.22,78.18,78.79,11274.0,11772.0,12057.0,12466.0,12870.0,12824.0,12887.0,13094.0,13603.0,14253.0
Kota Baubau,274066.0,291873.0,297991.0,311509.0,329977.0,344598.0,360766.0,376932.0,412008.0,431717.0,73.59,73.99,74.14,74.67,75.21,75.9,76.26,76.67,77.52,78.13,9852.0,10110.0,10223.0,10374.0,10523.0,10483.0,10503.0,10835.0,11207.0,11755.0
Kota Bekasi,497343.0,521813.0,544534.0,582723.0,617718.0,657953.0,692885.0,731392.0,795965.0,842927.0,79.63,79.95,80.3,81.04,81.59,81.5,81.95,82.46,83.03,83.54,15116.0,15236.0,15378.0,15755.0,16157.0,15776.0,15903.0,16239.0,16479.0,16775.0
Kota Bengkulu,494825.0,535893.0,584265.0,642314.0,660442.0,702578.0,740612.0,785905.0,810507.0,820354.0,77.16,77.94,78.82,79.67,80.35,80.36,80.54,80.99,81.45,82.04,12277.0,12698.0,13164.0,13633.0,14030.0,13938.0,14108.0,14503.0,14924.0,15542.0
