kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Banggai,311258.0,344795.0,352840.0,373695.0,395700.0,417863.0,431639.0,457335.0,488788.0,515334.0,67.44,68.17,69.0,69.85,70.36,70.52,70.6,71.08,71.7,72.32,8895.0,9144.0,9516.0,9712.0,9842.0,9554.0,9603.0,9963.0,10400.0,10772.0
Banggai Kepulauan,260814.0,290742.0,300753.0,317475.0,338815.0,364025.0,373799.0,396904.0,432673.0,453552.0,62.97,63.45,64.07,64.68,65.13,65.42,65.61,66.08,66.82,67.43,7161.0,7286.0,7440.0,7545.0,7619.0,7429.0,7453.0,7712.0,8066.0,8375.0
Banggai Laut,274333.0,296716.0,306611.0,324734.0,335604.0,359768.0,366005.0,384686.0,424660.0,443877.0,62.9,63.49,64.08,64.8,65.27,65.43,65.65,66.22,66.93,67.43,7406.0,7529.0,7693.0,7810.0,7888.0,7663.0,7707.0,8037.0,8470.0,8776.0
Bangka,385899.0,427684.0,475024.0,497164.0,541925.0,577093.0,595429.0,639535.0,685810.0,723719.0,70.03,70.43,71.09,71.8,72.39,72.4,72.46,72.95,73.66,73.98,10904.0,11279.0,11420.0,12043.0,12480.0,12416.0,12424.0,12863.0,13146.0,13205.0
Bangka Barat,399401.0,440850.0,497567.0,520642.0,549496.0,589894.0,599887.0,635861.0,681517.0,720398.0,67.23,67.6,67.94,68.68,69.05,69.08,69.6,70.12,70.45,70.67,11243.0,11303.0,11394.0,12011.0,12275.0,12233.0,12269.0,12790.0,13105.0,13199.0
Bangka Selatan,374778.0,415359.0,462716.0,483823.0,523155.0,561617.0,581970.0,621629.0,669016.0,697382.0,63.89,64.57,65.02,65.98,66.54,66.9,67.06,67.95,68.51,68.86,10824.0,10932.0,10999.0,11573.0,11910.0,11757.0,11768.0,12341.0,12627.0,12718.0
Bangka Tengah,528720.0,586445.0,653308.0,680907.0,693842.0,721331.0,735479.0,773509.0,814969.0,856895.0,68.66,68.76,68.99,69.52,70.33,70.45,70.89,71.4,71.71,71.9,12210.0,12248.0,12330.0,12836.0,13070.0,12909.0,12945.0,13422.0,13643.0,13677.0
Bangkalan,319120.0,334338.0,349073.0,369455.0,389170.0,418908.0,432046.0,458754.0,503207.0,547017.0,61.49,62.06,62.3,62.87,63.79,64.11,64.36,65.05,65.75,66.27,7667.0,8030.0,8192.0,8393.0,8718.0,8610.0,8673.0,8971.0,9438.0,9841.0
Bangli,283849.0,305200.0,321674.0,327668.0,329014.0,346458.0,370732.0,401650.0,436928.0,465572.0,66.24,67.03,68.24,68.96,69.35,69.36,69.37,70.26,70.79,71.34,10649.0,10819.0,10956.0,11160.0,11369.0,11268.0,11201.0,11424.0,11670.0,12148.0
Banjar,327970.0,360494.0,381862.0,400081.0,429422.0,462375.0,482867.0,514991.0,561521.0,589165.0,66.39,66.87,67.77,68.32,68.94,69.18,69.89,70.72,71.46,71.87,12185.0,12311.0,12366.0,12571.0,12681.0,12603.0,12707.0,12871.0,13301.0,13683.0
Banjarnegara,236399.0,252328.0,264387.0,278210.0,301792.0,318334.0,328679.0,351333.0,380046.0,398344.0,64.73,65.52,65.86,66.54,67.34,67.45,67.86,68.61,69.14,69.6,7930.0,8400.0,8630.0,9160.0,9547.0,9263.0,9407.0,9776.0,10226.0,10595.0
Bantaeng,217595.0,223408.0,234286.0,260263.0,309357.0,340890.0,363342.0,394116.0,419677.0,434664.0,66.2,66.59,67.27,67.76,68.3,68.73,68.99,69.69,70.57,71.48,10467.0,10596.0,10751.0,11153.0,11592.0,11632.0,11829.0,12133.0,12304.0,12719.0
Bantul,312514.0,332057.0,347476.0,369480.0,381538.0,405613.0,418265.0,445511.0,488340.0,510740.0,77.99,78.42,78.67,79.45,80.01,80.01,80.28,80.69,81.39,81.74,14320.0,14880.0,14995.0,15386.0,15636.0,15517.0,15545.0,16002.0,16524.0,16851.0
Banyu Asin,311716.0,337391.0,353914.0,381437.0,397496.0,429816.0,445089.0,477393.0,509264.0,539283.0,64.15,65.01,65.85,66.4,66.9,66.74,67.13,67.93,68.65,69.51,8539.0,8899.0,9328.0,9760.0,10135.0,9850.0,9860.0,10299.0,10731.0,11277.0
Banyumas,320585.0,344514.0,357748.0,366442.0,385140.0,406250.0,417086.0,441520.0,479027.0,500861.0,69.89,70.49,70.75,71.3,71.96,71.98,72.44,73.17,73.86,74.52,10104.0,10554.0,10713.0,11240.0,11703.0,11448.0,11546.0,11905.0,12492.0,12960.0
Banyuwangi,295185.0,311722.0,319236.0,339891.0,353873.0,373679.0,387084.0,414879.0,448928.0,470713.0,68.08,69.0,69.64,70.06,70.6,70.62,71.38,71.94,72.61,73.11,10692.0,11171.0,11438.0,11828.0,12264.0,12140.0,12217.0,12320.0,12820.0,13320.0
Barito Kuala,246397.0,274571.0,291285.0,297199.0,318995.0,340526.0,355160.0,375707.0,417110.0,437579.0,63.53,64.33,64.93,65.91,66.24,66.22,66.64,67.37,68.11,68.84,9062.0,9226.0,9535.0,9780.0,9952.0,9805.0,9868.0,10230.0,10750.0,11168.0
Barito Selatan,333917.0,355341.0,377932.0,389405.0,408072.0,433787.0,450706.0,481352.0,512492.0,542075.0,68.27,69.0,69.25,69.73,70.1,70.22,70.54,71.01,71.65,72.36,10570.0,10938.0,11031.0,11242.0,11582.0,11486.0,11492.0,11780.0,12067.0,12508.0
Barito Timur,415710.0,442068.0,467091.0,478510.0,487185.0,517183.0,534896.0,571786.0,623053.0,663119.0,69.71,70.33,70.57,70.82,71.34,71.39,71.47,72.07,72.7,73.26,10570.0,10631.0,10808.0,11000.0,11333.0,11319.0,11322.0,11710.0,12083.0,12576.0
Barito Utara,408241.0,420100.0,446807.0,450936.0,472552.0,504430.0,525236.0,563393.0,590832.0,628429.0,67.38,68.28,69.07,69.72,70.52,70.59,70.79,71.21,71.84,72.31,8534.0,8774.0,9067.0,9357.0,10010.0,9936.0,9951.0,10182.0,10720.0,11150.0
Barru,263210.0,280316.0,289371.0,307904.0,322248.0,337047.0,351924.0,368150.0,400702.0,417396.0,68.64,69.07,69.56,70.05,70.6,71.0,71.13,71.53,72.36,73.06,9811.0,10155.0,10285.0,10622.0,10911.0,10923.0,11017.0,11275.0,11712.0,12058.0
Batang,224437.0,240541.0,249292.0,256549.0,286116.0,309202.0,318330.0,341252.0,378858.0,412196.0,65.46,66.38,67.35,67.86,68.42,68.65,68.92,69.45,70.2,70.74,8244.0,8568.0,8805.0,9203.0,9573.0,9431.0,9524.0,9972.0,10470.0,10919.0
Batang Hari,328769.0,341320.0,365365.0,394438.0,420227.0,450233.0,462468.0,497857.0,540168.0,613093.0,68.05,68.7,68.92,69.33,69.67,69.84,70.11,70.51,71.02,71.67,9407.0,9512.0,9573.0,9833.0,10038.0,9825.0,10032.0,10173.0,10528.0,10872.0
Batu Bara,320422.0,347533.0,363741.0,381651.0,408417.0,452393.0,477564.0,508524.0,556529.0,591201.0,66.02,66.69,67.2,67.67,68.35,68.36,68.58,69.51,70.31,70.83,9692.0,9886.0,10084.0,10385.0,10575.0,10410.0,10539.0,10755.0,10933.0,11373.0
Bekasi,394513.0,416058.0,434112.0,463507.0,481732.0,518667.0,549875.0,579221.0,632811.0,674924.0,71.19,71.83,72.63,73.49,73.99,74.07,74.45,75.22,75.76,76.44,10323.0,10435.0,10790.0,11155.0,11610.0,11241.0,11341.0,11757.0,12123.0,12500.0
Belitung,580050.0,610072.0,652989.0,704855.0,766276.0,812321.0,830484.0,860629.0,896948.0,919372.0,70.29,70.81,70.93,71.7,72.46,72.51,72.57,73.38,74.02,74.47,12443.0,12865.0,12910.0,13281.0,13662.0,13554.0,13563.0,14045.0,14365.0,14449.0
Belitung Timur,504668.0,528572.0,563309.0,622396.0,684277.0,725395.0,798017.0,854534.0,899482.0,907577.0,68.83,69.3,69.57,70.22,70.84,70.92,71.42,72.29,72.86,73.19,10523.0,10729.0,10894.0,11302.0,11831.0,11730.0,11760.0,12357.0,12536.0,12610.0
Belu,279442.0,300914.0,319280.0,330944.0,349414.0,372087.0,379280.0,416519.0,459111.0,476703.0,60.54,61.04,61.44,61.86,62.54,62.68,62.77,63.22,63.83,64.43,7083.0,7199.0,7251.0,7403.0,7677.0,7479.0,7431.0,7593.0,7907.0,8159.0
Bener Meriah,338719.0,363796.0,383289.0,413208.0,431643.0,457916.0,476074.0,512111.0,551868.0,591421.0,70.62,71.42,71.89,72.14,72.97,72.98,73.27,73.9,74.49,75.01,9760.0,10140.0,10428.0,10626.0,11124.0,11098.0,11118.0,11421.0,11855.0,12360.0
Bengkalis,420733.0,455021.0,496657.0,508633.0,533123.0,581416.0,604925.0,648933.0,713826.0,755572.0,71.29,71.98,72.27,72.94,73.44,73.46,73.58,74.38,74.97,75.28,10965.0,11325.0,11530.0,11640.0,11753.0,11331.0,11415.0,11857.0,12153.0,12321.0
Bengkayang,273629.0,291430.0,311815.0,339891.0,357112.0,365755.0,372793.0,396037.0,416148.0,440390.0,64.65,65.45,65.99,66.85,67.57,67.87,68.04,68.74,69.53,70.3,8489.0,8588.0,8640.0,9072.0,9182.0,9102.0,9193.0,9484.0,9859.0,10208.0
Bengkulu Selatan,294328.0,323991.0,346595.0,364888.0,377823.0,394513.0,408904.0,435955.0,467762.0,492627.0,68.57,68.71,69.04,69.85,70.27,70.63,70.75,71.42,71.91,72.35,8951.0,9044.0,9202.0,9592.0,9813.0,9837.0,9916.0,10318.0,10657.0,11040.0
Bengkulu Tengah,308010.0,342162.0,366034.0,389821.0,406137.0,431688.0,447435.0,512084.0,549468.0,582468.0,64.68,65.44,65.8,66.65,67.3,67.61,67.96,68.47,68.99,69.84,8163.0,8425.0,8701.0,9102.0,9435.0,9392.0,9471.0,9697.0,10114.0,10672.0
Bengkulu Utara,302989.0,333311.0,356566.0,359264.0,369367.0,387881.0,398746.0,423857.0,459171.0,484432.0,67.46,67.63,67.8,68.36,68.8,68.82,69.28,69.77,70.28,71.11,9444.0,9566.0,9698.0,10098.0,10336.0,10263.0,10410.0,10774.0,11188.0,11715.0
