kabupaten_kota,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Berau,11572.0,11675.0,11843.0,12207.0,12726.0,12018.0,12435.0,13095.0,13620.0,14101.0
Biak Numfor,9603.0,9647.0,9812.0,9969.0,10211.0,9705.0,9607.0,9788.0,10229.0,10600.0
Bima,7371.0,7585.0,8006.0,8354.0,8631.0,8468.0,8495.0,8699.0,8963.0,9418.0
Bintan,13529.0,13667.0,13828.0,14256.0,14730.0,14482.0,14393.0,14739.0,14882.0,15078.0
Bireuen,7622.0,7885.0,8237.0,8378.0,8889.0,8857.0,8867.0,9438.0,9758.0,10150.0
Blitar,9272.0,9467.0,9828.0,10327.0,10861.0,10654.0,10757.0,11001.0,11499.0,12020.0
Blora,8699.0,8846.0,9065.0,9385.0,9795.0,9571.0,9669.0,10067.0,10541.0,10926.0
Boalemo,7817.0,7895.0,8325.0,8654.0,8874.0,8789.0,8940.0,9543.0,9941.0,10401.0
Bogor,9368.0,9537.0,9901.0,10323.0,10683.0,10317.0,10410.0,10860.0,11153.0,11563.0
Bojonegoro,8993.0,9420.0,9553.0,9926.0,10265.0,10121.0,10221.0,10323.0,10776.0,11204.0
Bolaang Mongondow,9369.0,9657.0,9761.0,10054.0,10470.0,10128.0,10220.0,10614.0,10915.0,11507.0
Bolaang Mongondow Selatan,8242.0,8371.0,8452.0,8743.0,9229.0,8837.0,8939.0,9238.0,9593.0,10114.0
Bolaang Mongondow Timur,8025.0,8361.0,8568.0,8856.0,9483.0,8998.0,9115.0,9390.0,9741.0,10191.0
Bolaang Mongondow Utara,8212.0,8593.0,8739.0,8992.0,9366.0,9062.0,9143.0,9285.0,9652.0,10170.0
Bombana,7392.0,7607.0,7908.0,8190.0,8344.0,8234.0,8310.0,8680.0,9132.0,9692.0
Bondowoso,9519.0,10007.0,10086.0,10429.0,10665.0,10610.0,10690.0,10851.0,11255.0,11689.0
Bone,7930.0,8275.0,8470.0,8686.0,8954.0,8963.0,9030.0,9277.0,9682.0,10084.0
Bone Bolango,8900.0,9115.0,9597.0,9827.0,10147.0,10052.0,10198.0,10676.0,11114.0,11717.0
Boven Digoel,7717.0,7770.0,8048.0,8211.0,8300.0,7947.0,7864.0,8086.0,8396.0,8616.0
Boyolali,11806.0,12192.0,12262.0,12758.0,13079.0,12910.0,13031.0,13250.0,13716.0,14195.0
Brebes,8898.0,9148.0,9554.0,9890.0,10238.0,10058.0,10152.0,10514.0,10993.0,11389.0
Buleleng,12587.0,12814.0,12995.0,13235.0,13780.0,13463.0,13362.0,13529.0,13987.0,14377.0
Bulukumba,9777.0,10040.0,10217.0,10331.0,10480.0,10513.0,10632.0,10941.0,11392.0,11807.0
Bulungan,8877.0,8933.0,9094.0,9310.0,9648.0,9121.0,9423.0,9641.0,10205.0,10581.0
Bungo,10676.0,10937.0,11016.0,11352.0,11662.0,11471.0,11670.0,11956.0,12224.0,12820.0
Buol,7475.0,7740.0,7934.0,8079.0,8151.0,7942.0,7974.0,8176.0,8678.0,9051.0
Buru,9615.0,9806.0,10036.0,10203.0,10400.0,10316.0,10347.0,10414.0,10879.0,11261.0
Buru Selatan,7026.0,7175.0,7337.0,7506.0,7627.0,7566.0,7600.0,7716.0,8108.0,8474.0
Buton,6829.0,6950.0,7117.0,7209.0,7366.0,7307.0,7324.0,7594.0,7995.0,8401.0
Buton Utara,6998.0,7168.0,7249.0,7393.0,7534.0,7470.0,7496.0,7935.0,8289.0,8746.0
Ciamis,8296.0,8432.0,8658.0,9190.0,9557.0,9288.0,9259.0,9428.0,9750.0,10085.0
Cianjur,6877.0,7074.0,7300.0,7874.0,8290.0,7980.0,8052.0,8244.0,8626.0,9026.0
Cilacap,9351.0,9677.0,9896.0,10274.0,10639.0,10440.0,10534.0,10904.0,11432.0,11868.0
Cirebon,9261.0,9463.0,9650.0,10212.0,10670.0,10342.0,10368.0,10791.0,11128.0,11529.0
Dairi,9708.0,10190.0,10395.0,10492.0,10602.0,10350.0,10504.0,10740.0,10969.0,11355.0
Deiyai,4320.0,4383.0,4597.0,4761.0,4958.0,4632.0,4673.0,4808.0,5104.0,5509.0
Deli Serdang,11359.0,11683.0,11891.0,12132.0,12317.0,12225.0,12291.0,12657.0,12890.0,13279.0
Demak,9118.0,9377.0,9544.0,10001.0,10344.0,10128.0,10248.0,10698.0,11166.0,11591.0
Dharmasraya,10713.0,10781.0,10851.0,11189.0,11431.0,11273.0,11324.0,11650.0,11901.0,12254.0
Dogiyai,5120.0,5190.0,5375.0,5522.0,5709.0,5373.0,5415.0,5705.0,6182.0,6755.0
Dompu,7479.0,7819.0,8351.0,8743.0,9027.0,8889.0,8899.0,9203.0,9404.0,9971.0
Donggala,7407.0,7802.0,7924.0,8106.0,8189.0,7960.0,8002.0,8303.0,8766.0,9117.0
Empat Lawang,8727.0,8944.0,9010.0,9450.0,9594.0,9350.0,9400.0,9838.0,10375.0,10889.0
Ende,8679.0,8801.0,8841.0,8995.0,9315.0,9094.0,9027.0,9413.0,9739.0,10009.0
Enrekang,9818.0,10188.0,10359.0,10683.0,10800.0,10844.0,10973.0,11183.0,11636.0,12138.0
Fakfak,6796.0,6935.0,7057.0,7357.0,7608.0,7599.0,7446.0,7678.0,7851.0,8159.0
