kabupaten_kota,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Kota Parepare,12817.0,12966.0,13078.0,13303.0,13648.0,13663.0,13786.0,14027.0,14495.0,14928.0
Kota Pariaman,11814.0,12141.0,12425.0,12611.0,12958.0,12796.0,12818.0,13150.0,13355.0,13784.0
Kota Pasuruan,11963.0,12295.0,12557.0,12931.0,13393.0,13281.0,13354.0,13803.0,14250.0,14664.0
Kota Payakumbuh,12622.0,12705.0,12858.0,13114.0,13464.0,13281.0,13317.0,13687.0,13978.0,14260.0
Kota Pekalongan,11253.0,11721.0,11800.0,12312.0,12680.0,12467.0,12598.0,13158.0,14056.0,14547.0
Kota Pekanbaru,14126.0,14225.0,14497.0,14778.0,15206.0,14433.0,14360.0,14804.0,14983.0,15212.0
Kota Pematang Siantar,11388.0,11878.0,12106.0,12290.0,12571.0,12372.0,12436.0,12744.0,12984.0,13349.0
Kota Pontianak,13737.0,13838.0,13904.0,14322.0,14515.0,14465.0,14610.0,15141.0,15632.0,16212.0
Kota Prabumulih,12046.0,12162.0,12355.0,12765.0,13072.0,12723.0,12752.0,13106.0,13494.0,13982.0
Kota Probolinggo,10558.0,10792.0,11390.0,11796.0,12280.0,12180.0,12245.0,12571.0,12999.0,13405.0
Kota Sabang,10041.0,10507.0,10610.0,10899.0,11444.0,11273.0,11378.0,11780.0,12137.0,12625.0
Kota Salatiga,14600.0,14811.0,14921.0,15464.0,15944.0,15699.0,15843.0,16351.0,16650.0,17096.0
Kota Samarinda,13825.0,14010.0,14175.0,14466.0,14613.0,14135.0,14582.0,15162.0,15610.0,16160.0
Kota Sawah Lunto,8931.0,9051.0,9343.0,9765.0,10238.0,10182.0,10195.0,10537.0,10829.0,11187.0
Kota Semarang,13589.0,13909.0,14334.0,14895.0,15550.0,15243.0,15425.0,16047.0,16420.0,16990.0
Kota Serang,12289.0,12660.0,12914.0,13261.0,13418.0,13212.0,13281.0,13709.0,14088.0,14603.0
Kota Sibolga,10765.0,11034.0,11221.0,11405.0,11656.0,11473.0,11540.0,12135.0,12285.0,12713.0
Kota Singkawang,10982.0,11006.0,11122.0,11514.0,11789.0,11650.0,11767.0,12089.0,12457.0,12945.0
Kota Solok,11350.0,11519.0,11673.0,11968.0,12337.0,12117.0,12168.0,12515.0,12709.0,12995.0
Kota Sorong,12590.0,12858.0,13141.0,13484.0,13815.0,13954.0,13744.0,13874.0,14133.0,14368.0
Kota Subulussalam,6504.0,6669.0,6887.0,7039.0,7463.0,7317.0,7385.0,7689.0,8065.0,8491.0
Kota Sukabumi,9729.0,9819.0,10188.0,10609.0,11204.0,10999.0,10942.0,11229.0,11799.0,12252.0
Kota Sungai Penuh,9502.0,9604.0,9707.0,10186.0,10510.0,10248.0,10454.0,10745.0,11027.0,11499.0
Kota Surabaya,15991.0,16295.0,16726.0,17157.0,17854.0,17755.0,17862.0,18345.0,18977.0,19666.0
Kota Surakarta,13604.0,13900.0,13986.0,14528.0,15049.0,14761.0,14911.0,15463.0,15870.0,16291.0
Kota Tangerang,13766.0,13911.0,14104.0,14443.0,14860.0,14484.0,14575.0,14909.0,15377.0,15641.0
Kota Tangerang Selatan,14588.0,14972.0,15291.0,15672.0,15988.0,15667.0,15751.0,15997.0,16225.0,17028.0
Kota Tanjung Balai,10326.0,10577.0,10778.0,11102.0,11383.0,11132.0,11225.0,11589.0,11753.0,12264.0
Kota Tanjung Pinang,14446.0,14645.0,14881.0,15292.0,15838.0,15498.0,15439.0,15864.0,16213.0,16663.0
Kota Tarakan,10642.0,10715.0,10841.0,11153.0,11509.0,10894.0,11261.0,11596.0,11992.0,12451.0
Kota Tasikmalaya,8785.0,9145.0,9497.0,9855.0,10414.0,10263.0,10213.0,10578.0,11063.0,11431.0
Kota Tebing Tinggi,11393.0,11747.0,12055.0,12434.0,12895.0,12876.0,12939.0,13144.0,13385.0,13900.0
Kota Tegal,11748.0,11849.0,12283.0,12830.0,13250.0,12999.0,13143.0,13455.0,14013.0,14358.0
Kota Ternate,12529.0,12643.0,12989.0,13166.0,13632.0,13091.0,13290.0,13586.0,14042.0,14731.0
Kota Tidore Kepulauan,7631.0,7772.0,8044.0,8232.0,8608.0,8188.0,8316.0,8586.0,9034.0,9269.0
Kota Tomohon,10469.0,10936.0,11323.0,11647.0,12152.0,11745.0,11851.0,12268.0,12488.0,13045.0
Kota Tual,6683.0,6803.0,7012.0,7323.0,7506.0,7351.0,7405.0,7519.0,7825.0,8238.0
Kota Yogyakarta,17317.0,17770.0,18005.0,18629.0,19125.0,18678.0,18801.0,19319.0,19920.0,20603.0
Kotawaringin Barat,11979.0,12101.0,12420.0,12788.0,13175.0,13109.0,13117.0,13352.0,13798.0,14095.0
Kotawaringin Timur,10525.0,10922.0,11249.0,11556.0,11905.0,11854.0,11866.0,12048.0,12546.0,13042.0
Kuantan Singingi,9770.0,9892.0,10274.0,10476.0,10820.0,10243.0,10309.0,10647.0,10945.0,11182.0
Kubu Raya,7994.0,8145.0,8430.0,8532.0,8773.0,8709.0,8630.0,9142.0,9605.0,10132.0
Kudus,10203.0,10348.0,10639.0,10979.0,11318.0,11160.0,11272.0,11609.0,12088.0,12533.0
Kulon Progo,8688.0,8938.0,9277.0,9698.0,10275.0,10041.0,10069.0,10511.0,10723.0,10990.0
Kuningan,8516.0,8580.0,8736.0,9297.0,9673.0,9459.0,9409.0,9620.0,10011.0,10418.0
Kupang,7085.0,7217.0,7301.0,7472.0,7698.0,7526.0,7476.0,7776.0,8220.0,8508.0
Kutai Barat,9380.0,9492.0,9532.0,9849.0,10338.0,9712.0,10062.0,10740.0,11291.0,11903.0
Kutai Kartanegara,10250.0,10593.0,10692.0,10959.0,11152.0,10720.0,11048.0,11677.0,12323.0,12957.0
Kutai Timur,9704.0,9960.0,10273.0,10614.0,11196.0,10485.0,10868.0,11322.0,11961.0,12490.0
Labuhan Batu,10356.0,10559.0,10760.0,11053.0,11193.0,11150.0,11212.0,11474.0,11670.0,12102.0
Labuhan Batu Selatan,10319.0,10712.0,10892.0,11280.0,11553.0,11495.0,11562.0,11751.0,11950.0,12353.0
Labuhan Batu Utara,11201.0,11278.0,11510.0,11730.0,11957.0,11779.0,11840.0,12258.0,12429.0,12839.0
Lahat,8700.0,9037.0,9157.0,9600.0,10071.0,9730.0,9735.0,10296.0,10811.0,11255.0
Lamandau,9999.0,10049.0,10455.0,10996.0,11278.0,11190.0,11234.0,11559.0,12050.0,12278.0
Lamongan,9821.0,10252.0,10664.0,11108.0,11572.0,11456.0,11510.0,11648.0,12019.0,12419.0
Lampung Barat,8801.0,9106.0,9517.0,9741.0,9970.0,9929.0,9969.0,10175.0,10593.0,10965.0
Lampung Selatan,8746.0,9189.0,9310.0,9781.0,9978.0,9875.0,9931.0,10266.0,10617.0,11133.0
Lampung Tengah,10298.0,10674.0,10820.0,11052.0,11154.0,11219.0,11259.0,11710.0,12195.0,12595.0
Lampung Timur,9194.0,9416.0,9453.0,9908.0,10028.0,9983.0,10026.0,10403.0,10812.0,11262.0
Lampung Utara,7729.0,8212.0,8369.0,8559.0,8779.0,8733.0,8737.0,8951.0,9374.0,9837.0
Landak,6670.0,6737.0,6931.0,7183.0,7403.0,7357.0,7431.0,7969.0,8423.0,8868.0
Langkat,10364.0,10567.0,10784.0,11088.0,11208.0,11071.0,11142.0,11439.0,11632.0,12080.0
Lanny Jaya,3965.0,4106.0,4356.0,4517.0,4569.0,4350.0,4393.0,4559.0,4751.0,5026.0
Lebak,8111.0,8308.0,8372.0,8634.0,8850.0,8690.0,8724.0,8854.0,9130.0,9631.0
Lebong,10363.0,10682.0,10810.0,11071.0,11177.0,11124.0,11317.0,11644.0,12012.0,12362.0
Lembata,6888.0,7010.0,7084.0,7253.0,7474.0,7305.0,7257.0,7622.0,7962.0,8238.0
Lima Puluh Kota,8774.0,8936.0,9151.0,9500.0,9842.0,9596.0,9668.0,10035.0,10285.0,10648.0
Lingga,11158.0,11280.0,11421.0,11499.0,12091.0,11998.0,11938.0,12134.0,12485.0,12906.0
Lombok Barat,10588.0,10924.0,11048.0,11367.0,11647.0,11304.0,11334.0,11754.0,11960.0,12431.0
Lombok Tengah,8846.0,9079.0,9319.0,9796.0,10196.0,9952.0,9962.0,10470.0,10948.0,11531.0
Lombok Timur,8100.0,8449.0,8805.0,9268.0,9639.0,9409.0,9450.0,9631.0,10152.0,10571.0
Lombok Utara,7940.0,8155.0,8637.0,8888.0,9279.0,9006.0,9057.0,9433.0,9785.0,10272.0
Lumajang,7921.0,8311.0,8503.0,8931.0,9274.0,9088.0,9203.0,9466.0,9720.0,10124.0
Luwu,9160.0,9301.0,9381.0,9705.0,10085.0,10014.0,10116.0,10308.0,10691.0,11121.0
Luwu Timur,11926.0,11960.0,12030.0,12346.0,12802.0,12814.0,12886.0,13058.0,13451.0,13867.0
Luwu Utara,10697.0,10786.0,11101.0,11429.0,11583.0,11562.0,11736.0,12105.0,12513.0,12866.0
Madiun,10710.0,10904.0,11012.0,11351.0,11650.0,11574.0,11658.0,11848.0,12259.0,12668.0
Magelang,8182.0,8501.0,8627.0,9025.0,9387.0,9301.0,9440.0,10011.0,10493.0,10926.0
Magetan,10594.0,10988.0,11288.0,11539.0,11779.0,11776.0,11833.0,12031.0,12495.0,12915.0
Majalengka,8477.0,8594.0,8833.0,9416.0,9822.0,9521.0,9591.0,9950.0,10340.0,10842.0
Majene,9227.0,9441.0,9559.0,9904.0,10029.0,10056.0,10028.0,10152.0,10462.0,10909.0
Malaka,5563.0,5658.0,5726.0,5894.0,5998.0,5901.0,5861.0,6250.0,6569.0,6879.0
Malang,8845.0,9018.0,9356.0,9844.0,10270.0,10028.0,10163.0,10326.0,10791.0,11190.0
Malinau,9415.0,9529.0,9586.0,9853.0,10121.0,9611.0,9928.0,10304.0,10708.0,11190.0
Maluku Barat Daya,6189.0,6298.0,6508.0,6721.0,6888.0,6890.0,6918.0,7010.0,7223.0,7600.0
Maluku Tengah,9578.0,9672.0,9875.0,10106.0,10298.0,10210.0,10243.0,10406.0,10788.0,11183.0
Maluku Tenggara,6851.0,7063.0,7302.0,7481.0,7625.0,7545.0,7580.0,7795.0,8174.0,8553.0
Mamasa,7102.0,7231.0,7353.0,7597.0,7769.0,7747.0,7736.0,7837.0,8108.0,8415.0
Mamberamo Raya,4324.0,4387.0,4596.0,4755.0,4807.0,4581.0,4603.0,4806.0,5105.0,5298.0
Mamberamo Tengah,4051.0,4219.0,4510.0,4609.0,4671.0,4462.0,4487.0,4630.0,4855.0,4943.0
Mamuju,8557.0,8689.0,9019.0,9308.0,9535.0,9500.0,9494.0,9668.0,10075.0,10440.0
Mamuju Tengah,7404.0,7521.0,7931.0,8243.0,8501.0,8414.0,8408.0,8633.0,8821.0,9250.0
Mandailing Natal,9096.0,9237.0,9385.0,9653.0,9900.0,9684.0,9771.0,10061.0,10251.0,10644.0
Manggarai,6875.0,7008.0,7056.0,7175.0,7276.0,7203.0,7133.0,7580.0,7903.0,8204.0
Manggarai Barat,7012.0,7149.0,7269.0,7426.0,7602.0,7468.0,7410.0,7636.0,7913.0,8195.0
Manggarai Timur,5246.0,5396.0,5643.0,5809.0,5919.0,5818.0,5780.0,6145.0,6276.0,6561.0
Manokwari,11328.0,11440.0,11595.0,11789.0,11994.0,12207.0,11977.0,12179.0,12566.0,13008.0
Manokwari Selatan,4578.0,4702.0,5012.0,5225.0,5511.0,5505.0,5505.0,5691.0,5948.0,6139.0
Mappi,5780.0,5951.0,6143.0,6268.0,6513.0,6353.0,6327.0,6550.0,6821.0,7068.0
Maros,9468.0,9758.0,10121.0,10558.0,10981.0,10963.0,11032.0,11403.0,11795.0,12209.0
Maybrat,4576.0,4692.0,4905.0,5168.0,5391.0,5336.0,5245.0,5425.0,5669.0,5824.0
Melawi,7841.0,7858.0,7922.0,8202.0,8465.0,8332.0,8415.0,8830.0,9155.0,9596.0
Merangin,9456.0,9644.0,9753.0,10133.0,10312.0,10279.0,10380.0,10714.0,10969.0,11425.0
Merauke,9953.0,10016.0,10277.0,10430.0,10498.0,10097.0,10201.0,10424.0,10747.0,11077.0
Mesuji,6836.0,7099.0,7319.0,7774.0,8144.0,7894.0,7980.0,8466.0,8947.0,9454.0
Mimika,10952.0,11169.0,11591.0,11700.0,12035.0,11431.0,11400.0,11647.0,12076.0,12487.0
Minahasa,11405.0,11827.0,12026.0,12319.0,12720.0,12395.0,12481.0,12690.0,13027.0,13681.0
Minahasa Selatan,10674.0,11133.0,11162.0,11410.0,11760.0,11481.0,11554.0,11717.0,12090.0,12529.0
Minahasa Tenggara,9679.0,10002.0,10105.0,10354.0,10665.0,10408.0,10479.0,10753.0,11034.0,11511.0
Minahasa Utara,10410.0,10789.0,11075.0,11318.0,11712.0,11405.0,11481.0,11593.0,11958.0,12412.0
Mojokerto,11559.0,11798.0,12240.0,12454.0,12860.0,12779.0,12844.0,13051.0,13467.0,13903.0
Morowali,10245.0,10575.0,11012.0,11159.0,11277.0,10993.0,11028.0,11291.0,11708.0,12281.0
Morowali Utara,8422.0,8594.0,8842.0,8985.0,9109.0,8853.0,8890.0,9242.0,9623.0,10032.0
Muara Enim,9397.0,9766.0,10575.0,11012.0,11285.0,10951.0,10995.0,11304.0,11683.0,12291.0
Muaro Jambi,7630.0,7990.0,8145.0,8456.0,8697.0,8556.0,8825.0,9118.0,9525.0,10007.0
Mukomuko,9296.0,9482.0,9770.0,10036.0,10381.0,10266.0,10405.0,10747.0,11075.0,11665.0
Muna,7742.0,7928.0,8000.0,8098.0,8253.0,8203.0,8218.0,8328.0,8703.0,9107.0
Murung Raya,9328.0,9742.0,9872.0,10164.0,10471.0,10419.0,10449.0,10697.0,11053.0,11503.0
Musi Banyuasin,8850.0,9452.0,9705.0,10212.0,10364.0,10088.0,10140.0,10453.0,10862.0,11424.0
Musi Rawas,8876.0,9140.0,9218.0,9562.0,9795.0,9520.0,9550.0,10107.0,10429.0,11058.0
Musi Rawas Utara,9051.0,9272.0,9348.0,9795.0,10223.0,9783.0,9855.0,10283.0,10631.0,11198.0
Nabire,8725.0,8779.0,8983.0,9143.0,9195.0,8840.0,8856.0,9040.0,9381.0,9856.0
Nagan Raya,7141.0,7460.0,7732.0,7936.0,8348.0,8216.0,8292.0,8581.0,9062.0,9523.0
Nagekeo,7906.0,8054.0,8119.0,8219.0,8469.0,8309.0,8254.0,8433.0,8706.0,8986.0
Natuna,13612.0,13834.0,13970.0,14217.0,14821.0,14705.0,14711.0,14834.0,15409.0,15560.0
Nduga,3625.0,3725.0,3972.0,4131.0,4181.0,3975.0,3976.0,4190.0,4352.0,4597.0
Ngada,8085.0,8195.0,8649.0,8857.0,8961.0,8865.0,8819.0,8997.0,9350.0,9585.0
Nganjuk,10995.0,11451.0,11560.0,11768.0,12200.0,12130.0,12172.0,12349.0,12821.0,13376.0
Ngawi,10584.0,10810.0,10899.0,11187.0,11468.0,11418.0,11459.0,11563.0,11897.0,12414.0
Nias,6234.0,6409.0,6629.0,6941.0,7042.0,6898.0,6995.0,7196.0,7301.0,7698.0
Nias Barat,5207.0,5391.0,5594.0,5817.0,6009.0,5830.0,5924.0,6152.0,6382.0,6740.0
Nias Selatan,6454.0,6647.0,6792.0,6941.0,7105.0,6974.0,7041.0,7195.0,7299.0,7730.0
Nias Utara,5627.0,5770.0,5835.0,6041.0,6245.0,6064.0,6155.0,6575.0,6788.0,7189.0
Nunukan,6199.0,6333.0,6680.0,6956.0,7290.0,6804.0,7064.0,7446.0,7787.0,8265.0
Ogan Ilir,9809.0,9846.0,9972.0,10412.0,10777.0,10424.0,10454.0,11069.0,11456.0,12093.0
Ogan Komering Ilir,9723.0,10039.0,10306.0,10706.0,11032.0,10725.0,10755.0,11251.0,11736.0,12305.0
Ogan Komering Ulu,8923.0,8993.0,9340.0,9940.0,10261.0,10020.0,10040.0,10499.0,10859.0,11339.0
Ogan Komering Ulu Selatan,7581.0,7902.0,7997.0,8445.0,8830.0,8580.0,8585.0,8895.0,9176.0,9680.0
Ogan Komering Ulu Timur,10862.0,11024.0,11169.0,11612.0,11753.0,11505.0,11531.0,11759.0,12046.0,12623.0
Pacitan,7686.0,8048.0,8288.0,8527.0,9033.0,8796.0,8887.0,9184.0,9681.0,10099.0
Padang Lawas,7955.0,8094.0,8445.0,8772.0,9100.0,8807.0,8921.0,9207.0,9395.0,9821.0
Padang Lawas Utara,9363.0,9600.0,9737.0,9912.0,10194.0,9987.0,10055.0,10447.0,10615.0,10925.0
Padang Pariaman,10260.0,10455.0,10579.0,10919.0,11158.0,10998.0,11050.0,11159.0,11432.0,11756.0
Pakpak Bharat,7496.0,7641.0,7913.0,8099.0,8402.0,8170.0,8254.0,8558.0,8764.0,9158.0
Pamekasan,7679.0,7975.0,8311.0,8536.0,8834.0,8739.0,8804.0,8967.0,9420.0,9811.0
Pandeglang,7730.0,8138.0,8358.0,8613.0,8719.0,8572.0,8635.0,8827.0,9151.0,9574.0
Pangandaran,8265.0,8312.0,8588.0,8968.0,9423.0,9084.0,9065.0,9389.0,9406.0,9654.0
Paniai,6161.0,6191.0,6355.0,6535.0,6767.0,6361.0,6377.0,6554.0,6977.0,7470.0
Parigi Moutong,9150.0,9351.0,9488.0,9808.0,9878.0,9641.0,9675.0,10063.0,10471.0,10846.0
Pasaman,7340.0,7678.0,7882.0,8238.0,8599.0,8425.0,8440.0,8619.0,8908.0,9194.0
Pasaman Barat,8109.0,8393.0,8704.0,8979.0,9180.0,9047.0,9089.0,9381.0,9538.0,9888.0
Paser,9900.0,10171.0,10280.0,10605.0,10767.0,10344.0,10673.0,11181.0,11651.0,12181.0
Pasuruan,8707.0,9198.0,9556.0,9933.0,10381.0,10164.0,10297.0,10726.0,11239.0,11617.0
Pati,9380.0,9548.0,9813.0,10190.0,10660.0,10390.0,10506.0,10948.0,11385.0,11829.0
Pegunungan Arfak,4570.0,4594.0,4683.0,4979.0,5102.0,5099.0,5009.0,5204.0,5438.0,5722.0
Pegunungan Bintang,5176.0,5289.0,5506.0,5578.0,5633.0,5409.0,5429.0,5618.0,5849.0,6196.0
Pekalongan,9208.0,9300.0,9702.0,10221.0,10508.0,10312.0,10409.0,10707.0,11297.0,11701.0
Pelalawan,11422.0,11641.0,11725.0,11894.0,12149.0,11606.0,11672.0,12163.0,12399.0,12575.0
Pemalang,7177.0,7447.0,7785.0,8186.0,8546.0,8461.0,8573.0,8994.0,9587.0,10017.0
Penajam Paser Utara,10913.0,11019.0,11126.0,11492.0,11750.0,11231.0,11651.0,11890.0,12517.0,13100.0
Penukal Abab Lematang Ilir,7197.0,7491.0,7834.0,8136.0,8400.0,8196.0,8210.0,8680.0,9139.0,9604.0
Pesawaran,6744.0,7055.0,7449.0,7724.0,8059.0,7892.0,7934.0,8192.0,8633.0,9190.0
Pesisir Barat,7251.0,7616.0,7890.0,8355.0,8652.0,8457.0,8533.0,8663.0,9102.0,9550.0
Pesisir Selatan,8412.0,8605.0,8819.0,9089.0,9444.0,9212.0,9270.0,9686.0,9953.0,10211.0
Pidie,9233.0,9273.0,9377.0,9492.0,9824.0,9816.0,9860.0,10211.0,10584.0,11187.0
Pidie Jaya,9398.0,9590.0,9691.0,9967.0,10364.0,10071.0,10290.0,10701.0,11005.0,11274.0
Pinrang,10791.0,10899.0,11279.0,11508.0,11828.0,11844.0,11956.0,12102.0,12559.0,13010.0
Pohuwato,9146.0,9381.0,9715.0,10076.0,10316.0,10255.0,10409.0,10913.0,11018.0,11618.0
Polewali Mandar,7331.0,7559.0,7947.0,8355.0,8598.0,8580.0,8548.0,8726.0,9096.0,9536.0
Ponorogo,8654.0,8908.0,9107.0,9426.0,9883.0,9670.0,9851.0,10199.0,10658.0,11065.0
Poso,7971.0,8345.0,8781.0,8936.0,9084.0,8808.0,8850.0,9218.0,9622.0,9948.0
Pringsewu,9020.0,9533.0,9731.0,10190.0,10289.0,10262.0,10302.0,10577.0,11016.0,11543.0
Probolinggo,9976.0,10170.0,10239.0,10700.0,10972.0,10859.0,10969.0,11254.0,11756.0,12258.0
Pulang Pisau,8639.0,9017.0,9365.0,9807.0,10104.0,10047.0,10082.0,10273.0,10752.0,11207.0
Pulau Morotai,5809.0,5888.0,6167.0,6294.0,6655.0,6290.0,6378.0,6767.0,7141.0,7523.0
Pulau Taliabu,6158.0,6208.0,6306.0,6455.0,6659.0,6390.0,6467.0,6623.0,6939.0,7226.0
Puncak,5118.0,5181.0,5413.0,5506.0,5702.0,5378.0,5412.0,5583.0,5975.0,6363.0
Puncak Jaya,4979.0,5089.0,5341.0,5459.0,5523.0,5282.0,5289.0,5422.0,5731.0,6091.0
Purbalingga,8938.0,9159.0,9340.0,9786.0,10131.0,9914.0,10032.0,10277.0,10964.0,11343.0
Purwakarta,10550.0,10732.0,10941.0,11372.0,11819.0,11614.0,11669.0,12193.0,12619.0,13099.0
Purworejo,9305.0,9497.0,9601.0,10048.0,10342.0,10163.0,10275.0,10671.0,11110.0,11584.0
Raja Ampat,7191.0,7393.0,7508.0,7760.0,7958.0,8014.0,7882.0,8187.0,8483.0,8761.0
Rejang Lebong,9050.0,9520.0,9660.0,10045.0,10162.0,10234.0,10323.0,10547.0,10848.0,11385.0
Rembang,9122.0,9453.0,9736.0,10191.0,10551.0,10328.0,10519.0,10937.0,11399.0,11830.0
Rokan Hilir,9176.0,9181.0,9250.0,9316.0,9672.0,9362.0,9417.0,9906.0,10097.0,10447.0
Rokan Hulu,8942.0,9065.0,9303.0,9608.0,9979.0,9374.0,9406.0,9841.0,10055.0,10586.0
Rote Ndao,5946.0,6110.0,6320.0,6484.0,6720.0,6539.0,6503.0,6719.0,7061.0,7365.0
Sabu Raijua,4781.0,4923.0,5120.0,5245.0,5354.0,5265.0,5256.0,5558.0,5899.0,6207.0
Sambas,9195.0,9311.0,9403.0,9774.0,9924.0,9858.0,9828.0,10462.0,11057.0,11538.0
Samosir,7698.0,7813.0,8163.0,8348.0,8654.0,8422.0,8504.0,8991.0,9158.0,9634.0
Sampang,7827.0,8096.0,8352.0,8569.0,8760.0,8739.0,8790.0,8944.0,9363.0,9782.0
Sanggau,7622.0,7729.0,7828.0,8126.0,8410.0,8245.0,8328.0,8782.0,9213.0,9728.0
Sarmi,6379.0,6417.0,6723.0,6814.0,6860.0,6600.0,6617.0,6864.0,7204.0,7499.0
Sarolangun,11169.0,11349.0,11478.0,11609.0,11679.0,11616.0,11792.0,12069.0,12392.0,12679.0
Sekadau,6795.0,6820.0,7001.0,7326.0,7640.0,7434.0,7462.0,7566.0,7981.0,8511.0
Seluma,7077.0,7335.0,7584.0,7844.0,8209.0,8220.0,8256.0,8657.0,8949.0,9474.0
Semarang,10778.0,11102.0,11389.0,11807.0,12116.0,11966.0,12070.0,12448.0,12943.0,13377.0
Seram Bagian Barat,7921.0,8121.0,8333.0,8543.0,8704.0,8690.0,8720.0,8890.0,9324.0,9706.0
Seram Bagian Timur,8615.0,8848.0,9058.0,9268.0,9452.0,9453.0,9480.0,9591.0,10020.0,10049.0
Serang,10004.0,10317.0,10466.0,10693.0,10802.0,10665.0,10713.0,10916.0,11320.0,11767.0
Serdang Bedagai,10110.0,10246.0,10551.0,10737.0,11061.0,10950.0,11017.0,11499.0,11695.0,12015.0
Seruyan,8026.0,8331.0,8658.0,9110.0,9385.0,9370.0,9420.0,9821.0,10157.0,10474.0
Siak,11604.0,11826.0,11898.0,12119.0,12347.0,11799.0,11807.0,12230.0,12637.0,13080.0
Siau Tagulandang Biaro,7537.0,7742.0,7812.0,8097.0,8252.0,8080.0,8145.0,8401.0,8742.0,9062.0
Sidenreng Rappang,11004.0,11368.0,11523.0,11834.0,12039.0,12073.0,12201.0,12379.0,12739.0,13209.0
Sidoarjo,12879.0,13320.0,13710.0,14168.0,14609.0,14458.0,14578.0,14808.0,15311.0,15710.0
Sigi,7376.0,7714.0,8113.0,8236.0,8375.0,8126.0,8171.0,8498.0,8891.0,9254.0
Sijunjung,9796.0,9895.0,10093.0,10277.0,10395.0,10361.0,10389.0,10582.0,11018.0,11395.0
Sikka,7618.0,7740.0,7855.0,7958.0,8313.0,8081.0,8021.0,8362.0,8678.0,9019.0
Simalungun,10728.0,10855.0,11055.0,11311.0,11422.0,11308.0,11376.0,11524.0,11746.0,12119.0
Simeulue,6328.0,6542.0,6677.0,6824.0,7210.0,7085.0,7148.0,7371.0,7686.0,8106.0
Sinjai,8433.0,8706.0,8816.0,9098.0,9465.0,9439.0,9505.0,9726.0,10180.0,10665.0
Sintang,8224.0,8302.0,8343.0,8624.0,8823.0,8728.0,8708.0,8858.0,9128.0,9657.0
Situbondo,8677.0,9106.0,9178.0,9692.0,10097.0,9857.0,9996.0,10263.0,10702.0,11216.0
Sleman,14562.0,14921.0,15365.0,15844.0,16434.0,15926.0,16060.0,16438.0,16976.0,17586.0
Solok,9334.0,9664.0,9743.0,10035.0,10309.0,10171.0,10215.0,10539.0,10717.0,10988.0
Solok Selatan,9653.0,9802.0,9891.0,10199.0,10505.0,10325.0,10367.0,10560.0,10884.0,11240.0
Soppeng,8835.0,8965.0,9035.0,9291.0,9444.0,9483.0,9558.0,9756.0,10098.0,10547.0
Sorong,6457.0,6563.0,6975.0,7240.0,7507.0,7495.0,7350.0,7607.0,7984.0,8283.0
Sorong Selatan,5550.0,5644.0,5904.0,6062.0,6252.0,6286.0,6188.0,6342.0,6727.0,6928.0
Sragen,11434.0,11688.0,12041.0,12391.0,12720.0,12589.0,12679.0,13052.0,13439.0,13890.0
Subang,9831.0,10012.0,10206.0,10715.0,11012.0,10790.0,10854.0,11294.0,11537.0,11894.0
Sukabumi,7849.0,8077.0,8263.0,8618.0,8973.0,8823.0,8850.0,9210.0,9482.0,9815.0
Sukamara,7709.0,7792.0,8177.0,8482.0,8738.0,8674.0,8773.0,9225.0,9494.0,9809.0
Sukoharjo,10416.0,10452.0,10765.0,11100.0,11557.0,11325.0,11428.0,11841.0,12319.0,12758.0
Sumba Barat,6776.0,6914.0,6997.0,7275.0,7586.0,7321.0,7307.0,7627.0,7993.0,8243.0
Sumba Barat Daya,5933.0,6079.0,6134.0,6298.0,6594.0,6372.0,6355.0,6779.0,7080.0,7358.0
Sumba Tengah,5821.0,5907.0,5946.0,6093.0,6198.0,6108.0,6061.0,6288.0,6484.0,6743.0
Sumba Timur,8883.0,9004.0,9093.0,9351.0,9640.0,9406.0,9354.0,9641.0,10008.0,10280.0
Sumbawa,7743.0,8070.0,8584.0,9028.0,9336.0,9146.0,9167.0,9598.0,9981.0,10349.0
Sumbawa Barat,10234.0,10528.0,11066.0,11496.0,11766.0,11536.0,11548.0,11987.0,12214.0,12841.0
Sumedang,9279.0,9339.0,9569.0,10153.0,10406.0,10217.0,10262.0,10776.0,11136.0,11589.0
Sumenep,7577.0,7846.0,8316.0,8722.0,9082.0,8888.0,9000.0,9388.0,9807.0,10156.0
Supiori,5180.0,5379.0,5655.0,5769.0,5820.0,5677.0,5708.0,5904.0,6259.0,6474.0
Tabalong,10171.0,10620.0,10977.0,11227.0,11476.0,11283.0,11470.0,11914.0,12507.0,13097.0
Tabanan,13665.0,13800.0,13923.0,14245.0,14608.0,14494.0,14326.0,14475.0,14832.0,15297.0
Takalar,9423.0,9759.0,9845.0,10134.0,10474.0,10454.0,10543.0,10746.0,11239.0,11679.0
Tambrauw,4431.0,4561.0,4626.0,4859.0,5001.0,4998.0,4903.0,5084.0,5302.0,5489.0
Tana Tidung,6807.0,6919.0,7207.0,7511.0,7981.0,7381.0,7676.0,8012.0,8386.0,8707.0
