kabupaten_kota,ipm,garis_kemiskinan,pengeluaran_perkapita,tahun
Bengkulu Tengah,64.68,308010.0,8163.0,2015
Kota Bengkulu,77.16,494825.0,12277.0,2015
Lampung Barat,64.54,335500.0,8801.0,2015
Tanggamus,63.66,309569.0,7961.0,2015
Lampung Selatan,65.22,319448.0,8746.0,2015
Lampung Timur,67.1,307944.0,9194.0,2015
Lampung Tengah,67.61,336449.0,10298.0,2015
Lampung Utara,65.2,346393.0,7729.0,2015
Way Kanan,65.18,291207.0,8313.0,2015
Tulangbawang,66.08,337167.0,9893.0,2015
Pesawaran,62.7,305540.0,6744.0,2015
Pringsewu,67.55,350883.0,9020.0,2015
Mesuji,59.79,328859.0,6836.0,2015
Tulang Bawang Barat,63.01,329796.0,7332.0,2015
Pesisir Barat,60.55,342310.0,7251.0,2015
Kota Bandar Lampung,74.81,476055.0,11090.0,2015
Kota Metro,75.1,314891.0,10707.0,2015
Bangka,70.03,385899.0,10904.0,2015
Belitung,70.29,580050.0,12443.0,2015
Bangka Barat,67.23,399401.0,11243.0,2015
Bangka Tengah,68.66,528720.0,12210.0,2015
Bangka Selatan,63.89,374778.0,10824.0,2015
Belitung Timur,68.83,504668.0,10523.0,2015
Kota Pangkal Pinang,76.61,527668.0,14707.0,2015
Karimun,69.21,309558.0,11248.0,2015
Bintan,71.92,313277.0,13529.0,2015
Natuna,70.87,276828.0,13612.0,2015
Lingga,61.28,354916.0,11158.0,2015
Kepulauan Anambas,65.86,313042.0,11251.0,2015
Kota Batam,79.34,525452.0,16826.0,2015
Kota Tanjung Pinang,77.57,542857.0,14446.0,2015
Kota Jakarta Selatan,83.37,567685.0,22425.0,2015
Kota Jakarta Timur,80.73,412515.0,16455.0,2015
Kota Jakarta Pusat,79.69,484526.0,16143.0,2015
Kota Jakarta Barat,79.72,408818.0,19006.0,2015
Kota Jakarta Utara,78.3,423828.0,17205.0,2015
Bogor,67.77,290874.0,9368.0,2015
Sukabumi,64.44,260068.0,7849.0,2015
Cianjur,62.42,287939.0,6877.0,2015
Bandung,70.05,275562.0,9375.0,2015
Garut,63.21,241068.0,6875.0,2015
Tasikmalaya,63.17,255540.0,6934.0,2015
Ciamis,68.02,296647.0,8296.0,2015
Kuningan,67.19,276154.0,8516.0,2015
Cirebon,66.07,327032.0,9261.0,2015
Majalengka,64.75,379354.0,8477.0,2015
Sumedang,69.29,281649.0,9279.0,2015
Indramayu,64.36,379088.0,8769.0,2015
Subang,66.52,295174.0,9831.0,2015
Purwakarta,67.84,296477.0,10550.0,2015
Karawang,67.66,363105.0,10217.0,2015
Bekasi,71.19,394513.0,10323.0,2015
Bandung Barat,65.23,275327.0,7522.0,2015
Pangandaran,65.62,303646.0,8265.0,2015
Kota Bogor,73.65,392405.0,10576.0,2015
Kota Sukabumi,71.84,421908.0,9729.0,2015
Kota Bandung,79.67,376311.0,15609.0,2015
Kota Cirebon,73.34,358654.0,10732.0,2015
Kota Bekasi,79.63,497343.0,15116.0,2015
Kota Depok,79.11,496747.0,14424.0,2015
Kota Cimahi,76.42,386513.0,11012.0,2015
Kota Tasikmalaya,69.99,367673.0,8785.0,2015
Kota Banjar,69.31,271017.0,9476.0,2015
Cilacap,67.77,273828.0,9351.0,2015
Banyumas,69.89,320585.0,10104.0,2015
Purbalingga,67.03,283366.0,8938.0,2015
Banjarnegara,64.73,236399.0,7930.0,2015
Kebumen,66.87,292177.0,8008.0,2015
Purworejo,70.37,294158.0,9305.0,2015
Wonosobo,65.7,275180.0,9736.0,2015
Magelang,67.13,253866.0,8182.0,2015
Boyolali,71.74,263734.0,11806.0,2015
Klaten,73.81,340484.0,11178.0,2015
Sukoharjo,74.53,303030.0,10416.0,2015
Wonogiri,67.76,252903.0,8417.0,2015
Karanganyar,74.26,303056.0,10486.0,2015
Sragen,71.1,263199.0,11434.0,2015
Grobogan,68.05,303455.0,9457.0,2015
Blora,66.22,257581.0,8699.0,2015
Rembang,68.18,314596.0,9122.0,2015
Pati,68.51,347575.0,9380.0,2015
Kudus,72.72,328404.0,10203.0,2015
Jepara,70.02,314422.0,9504.0,2015
Demak,69.75,328529.0,9118.0,2015
Semarang,71.89,286918.0,10778.0,2015
Temanggung,67.07,248866.0,8369.0,2015
Kendal,69.57,301449.0,10419.0,2015
Batang,65.46,224437.0,8244.0,2015
Pekalongan,67.4,317796.0,9208.0,2015
Pemalang,63.7,298622.0,7177.0,2015
Tegal,65.04,282861.0,8367.0,2015
Brebes,63.18,340538.0,8898.0,2015
Kota Magelang,76.39,405228.0,10793.0,2015
Kota Surakarta,80.14,406840.0,13604.0,2015
Kota Salatiga,80.96,337511.0,14600.0,2015
Kota Semarang,80.23,368477.0,13589.0,2015
Kota Pekalongan,72.69,352717.0,11253.0,2015
Kota Tegal,72.96,371528.0,11748.0,2015
Kulon Progo,71.52,273436.0,8688.0,2015
Bantul,77.99,312514.0,14320.0,2015
Gunung Kidul,67.41,250630.0,8336.0,2015
Sleman,81.2,318312.0,14562.0,2015
Kota Yogyakarta,84.56,383966.0,17317.0,2015
Pacitan,64.92,228573.0,7686.0,2015
