kabupaten_kota,ipm,garis_kemiskinan,pengeluaran_perkapita,tahun
Situbondo,65.68,276924.0,9178.0,2017
Probolinggo,64.28,384343.0,10239.0,2017
Pasuruan,66.69,315145.0,9556.0,2017
Sidoarjo,78.7,414479.0,13710.0,2017
Mojokerto,72.36,345487.0,12240.0,2017
Jombang,70.88,353456.0,10560.0,2017
Nganjuk,70.69,358216.0,11560.0,2017
Madiun,70.27,306769.0,11012.0,2017
Magetan,72.6,297874.0,11288.0,2017
Ngawi,69.27,277539.0,10899.0,2017
Bojonegoro,67.28,309564.0,9553.0,2017
Tuban,66.77,308822.0,9540.0,2017
Lamongan,71.11,335783.0,10664.0,2017
Gresik,74.84,414261.0,12375.0,2017
Bangkalan,62.3,349073.0,8192.0,2017
Sampang,59.9,307606.0,8352.0,2017
Pamekasan,64.93,302431.0,8311.0,2017
Sumenep,64.28,313330.0,8316.0,2017
Kota Kediri,77.13,420712.0,11550.0,2017
Kota Blitar,77.1,383021.0,12910.0,2017
Kota Malang,80.65,454061.0,15939.0,2017
Kota Probolinggo,72.09,437392.0,11390.0,2017
Kota Pasuruan,74.39,378593.0,12557.0,2017
Kota Mojokerto,76.77,391489.0,12804.0,2017
Kota Madiun,80.13,404959.0,15415.0,2017
Kota Surabaya,81.07,474365.0,16726.0,2017
Kota Batu,74.26,424354.0,12057.0,2017
Pandeglang,63.82,285822.0,8358.0,2017
Lebak,62.95,261880.0,8372.0,2017
Tangerang,70.97,423486.0,11914.0,2017
Serang,65.6,269652.0,10466.0,2017
Kota Tangerang,77.01,508551.0,14104.0,2017
Kota Cilegon,72.29,373147.0,12562.0,2017
Kota Serang,71.31,296819.0,12914.0,2017
Kota Tangerang Selatan,80.84,494784.0,15291.0,2017
Jembrana,70.72,374057.0,11468.0,2017
Tabanan,74.86,412561.0,13923.0,2017
Badung,80.54,500885.0,17063.0,2017
Gianyar,76.09,358496.0,14222.0,2017
Klungkung,70.13,299664.0,11005.0,2017
Bangli,68.24,321674.0,10956.0,2017
Buleleng,71.11,372399.0,12995.0,2017
Kota Denpasar,83.01,512947.0,19364.0,2017
Lombok Barat,66.37,390979.0,11048.0,2017
Lombok Tengah,64.36,369645.0,9319.0,2017
Lombok Timur,64.37,396668.0,8805.0,2017
Sumbawa,65.84,300643.0,8584.0,2017
Dompu,66.33,266483.0,8351.0,2017
Bima,65.01,288703.0,8006.0,2017
Sumbawa Barat,70.08,444465.0,11066.0,2017
Lombok Utara,63.04,398702.0,8637.0,2017
Kota Mataram,77.84,428754.0,14316.0,2017
Kota Bima,74.36,299346.0,10458.0,2017
Sumba Barat,62.3,315066.0,6997.0,2017
Sumba Timur,64.19,320199.0,9093.0,2017
Kupang,62.79,325677.0,7301.0,2017
Timor Tengah Selatan,61.08,293617.0,6676.0,2017
Timor Tengah Utara,62.03,335517.0,6164.0,2017
Belu,61.44,319280.0,7251.0,2017
Alor,59.61,287878.0,6553.0,2017
Lembata,63.09,335693.0,7084.0,2017
Flores Timur,62.89,267317.0,7442.0,2017
Sikka,63.08,288332.0,7855.0,2017
Ende,66.11,341219.0,8841.0,2017
Ngada,66.47,315778.0,8649.0,2017
Manggarai,62.24,306419.0,7056.0,2017
Rote Ndao,60.51,283704.0,6320.0,2017
Manggarai Barat,61.65,304277.0,7269.0,2017
Sumba Tengah,59.39,271365.0,5946.0,2017
Sumba Barat Daya,61.46,338742.0,6134.0,2017
Nagekeo,64.74,316717.0,8119.0,2017
Manggarai Timur,58.51,299530.0,5643.0,2017
Sabu Raijua,55.22,354983.0,5120.0,2017
Malaka,58.9,321052.0,5726.0,2017
Kota Kupang,78.25,504179.0,13028.0,2017
Sambas,65.92,369202.0,9403.0,2017
Bengkayang,65.99,311815.0,8640.0,2017
Landak,64.93,320600.0,6931.0,2017
Sanggau,64.61,283608.0,7828.0,2017
Ketapang,65.71,391868.0,8475.0,2017
Sintang,65.16,477604.0,8343.0,2017
Kapuas Hulu,64.18,384275.0,6883.0,2017
Sekadau,63.04,288162.0,7001.0,2017
Melawi,64.43,461462.0,7922.0,2017
Kayong Utara,61.52,260114.0,7434.0,2017
Kubu Raya,66.31,359461.0,8430.0,2017
Kota Pontianak,77.93,439648.0,13904.0,2017
Kota Singkawang,70.25,410717.0,11122.0,2017
Kotawaringin Barat,72.11,338230.0,12420.0,2017
Kotawaringin Timur,70.17,381776.0,11249.0,2017
Kapuas,68.04,283222.0,10421.0,2017
Barito Selatan,69.25,377932.0,11031.0,2017
Barito Utara,69.07,446807.0,9067.0,2017
Sukamara,66.98,427101.0,8177.0,2017
Lamandau,69.17,409912.0,10455.0,2017
Seruyan,66.14,415798.0,8658.0,2017
Katingan,67.56,412113.0,10029.0,2017
Pulang Pisau,67.0,347878.0,9365.0,2017
Gunung Mas,69.95,388415.0,10276.0,2017
Barito Timur,70.57,467091.0,10808.0,2017
Murung Raya,67.16,421903.0,9872.0,2017
Kota Palangka Raya,79.69,345417.0,13435.0,2017
Tanah Laut,68.0,425152.0,10925.0,2017
Banjar,67.77,381862.0,12366.0,2017
Barito Kuala,64.93,291285.0,9535.0,2017
Tapin,68.7,390488.0,11411.0,2017
Hulu Sungai Selatan,67.8,431296.0,11890.0,2017
Hulu Sungai Tengah,67.78,341024.0,11635.0,2017
Hulu Sungai Utara,64.21,407608.0,9100.0,2017
Tabalong,70.76,430129.0,10977.0,2017
Tanah Bumbu,69.12,427852.0,11244.0,2017
Balangan,67.25,368580.0,11186.0,2017
Kota Banjarmasin,76.46,445428.0,13899.0,2017
Kota Banjar Baru,78.32,539608.0,13279.0,2017
Paser,71.16,433823.0,10280.0,2017
Kutai Barat,70.18,485551.0,9532.0,2017
Kutai Kartanegara,72.75,450581.0,10692.0,2017
Kutai Timur,71.91,512345.0,10273.0,2017
Berau,73.56,496385.0,11843.0,2017
Penajam Paser Utara,70.59,426111.0,11126.0,2017
Kota Balikpapan,79.01,530710.0,14254.0,2017
Kota Samarinda,79.46,594645.0,14175.0,2017
Kota Bontang,79.47,542985.0,16271.0,2017
Malinau,71.23,528287.0,9586.0,2017
Bulungan,70.74,398397.0,9094.0,2017
Tana Tidung,66.26,366856.0,7207.0,2017
Nunukan,65.1,377736.0,6680.0,2017
Kota Tarakan,75.27,572213.0,10841.0,2017
Bolaang Mongondow,66.08,287751.0,9761.0,2017
Minahasa,74.59,255535.0,12026.0,2017
Kepulauan Sangihe,69.14,240321.0,11111.0,2017
Kepulauan Talaud,67.74,257294.0,8268.0,2017
Minahasa Selatan,70.05,296600.0,11162.0,2017
Minahasa Utara,72.2,294308.0,11075.0,2017
Bolaang Mongondow Utara,65.6,230974.0,8739.0,2017
Siau Tagulandang Biaro,66.03,276800.0,7812.0,2017
Minahasa Tenggara,68.91,298736.0,10105.0,2017
Bolaang Mongondow Selatan,64.05,288862.0,8452.0,2017
Bolaang Mongondow Timur,64.73,293187.0,8568.0,2017
Kota Manado,78.05,353018.0,13477.0,2017
Kota Bitung,72.94,356120.0,11895.0,2017
Kota Tomohon,75.34,354635.0,11323.0,2017
Kota Kotamobagu,72.0,289077.0,10366.0,2017
Banggai Kepulauan,64.07,300753.0,7440.0,2017
Banggai,69.0,352840.0,9516.0,2017
Morowali,70.41,381753.0,11012.0,2017
Poso,69.78,429161.0,8781.0,2017
Donggala,64.66,291011.0,7924.0,2017
Toli-Toli,64.05,281882.0,7916.0,2017
Buol,66.69,314556.0,7934.0,2017
Parigi Moutong,64.09,366762.0,9488.0,2017
Tojo Una-Una,62.61,417508.0,7465.0,2017
Sigi,66.72,299261.0,8113.0,2017
Banggai Laut,64.08,306611.0,7693.0,2017
Morowali Utara,67.35,392811.0,8842.0,2017
Kota Palu,80.24,473555.0,14871.0,2017
Kepulauan Selayar,65.39,310978.0,8436.0,2017
Bulukumba,67.08,284108.0,10217.0,2017
Bantaeng,67.27,234286.0,10751.0,2017
Jeneponto,62.67,315702.0,8747.0,2017
Takalar,65.48,299721.0,9845.0,2017
Gowa,68.33,333002.0,9009.0,2017
Sinjai,65.8,250551.0,8816.0,2017
Maros,68.42,348726.0,10121.0,2017
Barru,69.56,289371.0,10285.0,2017
Bone,64.16,272555.0,8470.0,2017
Soppeng,66.67,225936.0,9035.0,2017
Wajo,68.18,264376.0,11770.0,2017
Sidenreng Rappang,69.84,276558.0,11523.0,2017
Pinrang,69.9,256054.0,11279.0,2017
Enrekang,71.44,283653.0,10359.0,2017
Luwu,69.02,281195.0,9381.0,2017
Tana Toraja,66.82,261573.0,6801.0,2017
Luwu Utara,68.35,299339.0,11101.0,2017
Luwu Timur,71.46,289214.0,12030.0,2017
Toraja Utara,67.9,408827.0,7457.0,2017
Kota Parepare,76.68,292685.0,13078.0,2017
Kota Palopo,76.71,274319.0,12319.0,2017
Buton,64.47,211485.0,7117.0,2017
Muna,67.61,296383.0,8000.0,2017
Konawe,70.24,267331.0,9857.0,2017
Kolaka,71.46,327329.0,12243.0,2017
Konawe Selatan,67.23,200663.0,8798.0,2017
Bombana,64.49,270627.0,7908.0,2017
Wakatobi,67.99,239819.0,8800.0,2017
Kolaka Utara,67.77,406334.0,9941.0,2017
Buton Utara,66.4,280974.0,7249.0,2017
Konawe Utara,67.71,244391.0,8943.0,2017
Kolaka Timur,64.55,323956.0,7499.0,2017
Konawe Kepulauan,63.44,271241.0,6458.0,2017
Muna Barat,63.43,297787.0,7288.0,2017
Buton Tengah,62.82,220897.0,7012.0,2017
Buton Selatan,63.2,213869.0,7075.0,2017
Kota Kendari,81.83,301894.0,13995.0,2017
Kota Baubau,74.14,297991.0,10223.0,2017
Boalemo,64.22,348581.0,8325.0,2017
Gorontalo,64.95,382722.0,8828.0,2017
Pohuwato,63.88,247476.0,9715.0,2017
Bone Bolango,68.11,339614.0,9597.0,2017
Gorontalo Utara,63.52,251054.0,8480.0,2017
Kota Gorontalo,76.09,452758.0,11651.0,2017
Majene,65.4,335248.0,9559.0,2017
Polewali Mandar,62.35,351856.0,7947.0,2017
Mamasa,63.92,239112.0,7353.0,2017
Mamuju,66.32,241616.0,9019.0,2017
Mamuju Tengah,63.64,226559.0,7931.0,2017
Maluku Tenggara,64.94,373386.0,7302.0,2017
Maluku Tengah,70.09,424632.0,9875.0,2017
Buru,67.61,415403.0,10036.0,2017
Kepulauan Aru,62.13,352151.0,7334.0,2017
Seram Bagian Barat,64.34,350853.0,8333.0,2017
Seram Bagian Timur,62.06,334645.0,9058.0,2017
Maluku Barat Daya,60.16,374816.0,6508.0,2017
Buru Selatan,62.75,542036.0,7337.0,2017
Kota Ambon,79.82,514690.0,13699.0,2017
Kota Tual,66.25,372731.0,7012.0,2017
Halmahera Barat,64.19,302921.0,7266.0,2017
Halmahera Tengah,63.89,410708.0,7688.0,2017
Kepulauan Sula,62.04,320854.0,6859.0,2017
Halmahera Selatan,62.64,273849.0,7026.0,2017
Halmahera Utara,66.52,215837.0,7302.0,2017
Halmahera Timur,65.77,509725.0,7841.0,2017
Pulau Morotai,60.71,236532.0,6167.0,2017
Pulau Taliabu,59.03,342401.0,6306.0,2017
Kota Ternate,78.48,514396.0,12989.0,2017
Kota Tidore Kepulauan,69.25,387307.0,8044.0,2017
Fakfak,66.09,473950.0,7057.0,2017
Kaimana,62.74,363581.0,7752.0,2017
Teluk Wondama,58.1,488233.0,7694.0,2017
Teluk Bintuni,62.39,583323.0,9463.0,2017
Manokwari,70.67,547494.0,11595.0,2017
Sorong Selatan,60.19,297684.0,5904.0,2017
Sorong,63.42,329106.0,6975.0,2017
Raja Ampat,62.35,317416.0,7508.0,2017
Tambrauw,51.01,308298.0,4626.0,2017
Maybrat,57.23,319571.0,4905.0,2017
Manokwari Selatan,58.08,557907.0,5012.0,2017
Pegunungan Arfak,54.39,586493.0,4683.0,2017
Kota Sorong,76.73,657148.0,13141.0,2017
Merauke,68.64,342842.0,10277.0,2017
Jayawijaya,55.99,406219.0,7524.0,2017
Jayapura,70.97,489932.0,10055.0,2017
Nabire,67.11,575361.0,8983.0,2017
Kepulauan Yapen,66.07,592535.0,7605.0,2017
Biak Numfor,71.56,521782.0,9812.0,2017
Paniai,54.91,461606.0,6355.0,2017
Puncak Jaya,46.57,581537.0,5341.0,2017
Mimika,72.42,684282.0,11591.0,2017
Boven Digoel,60.14,444813.0,8048.0,2017
Mappi,57.1,300400.0,6143.0,2017
Asmat,48.49,349487.0,5771.0,2017
Yahukimo,47.95,338613.0,4554.0,2017
Pegunungan Bintang,43.24,455819.0,5506.0,2017
Tolikara,47.89,252132.0,4827.0,2017
Sarmi,62.31,421484.0,6723.0,2017
Keerom,64.99,532499.0,8824.0,2017
Waropen,64.08,627112.0,6810.0,2017
Supiori,61.23,429102.0,5655.0,2017
Mamberamo Raya,50.25,658412.0,4596.0,2017
Nduga,27.87,327233.0,3972.0,2017
Lanny Jaya,46.49,446061.0,4356.0,2017
Mamberamo Tengah,45.5,370978.0,4510.0,2017
Yalimo,46.19,316059.0,4702.0,2017
Puncak,41.06,602481.0,5413.0,2017
Dogiyai,54.04,471762.0,5375.0,2017
Intan Jaya,45.68,598436.0,5293.0,2017
Deiyai,49.07,556281.0,4597.0,2017
Kota Jayapura,79.23,849496.0,14781.0,2017
Simeulue,64.74,368068.0,6824.0,2018
Aceh Singkil,68.02,427804.0,8506.0,2018
Aceh Selatan,65.92,351288.0,7891.0,2018
Aceh Tenggara,68.67,340196.0,7685.0,2018
Aceh Timur,66.82,398493.0,8252.0,2018
Aceh Tengah,72.64,445250.0,10394.0,2018
Aceh Barat,70.47,447089.0,9134.0,2018
Aceh Besar,72.73,422051.0,9192.0,2018
Pidie,69.93,435873.0,9492.0,2018
Bireuen,71.37,358399.0,8378.0,2018
Aceh Utara,68.36,340086.0,7919.0,2018
Aceh Barat Daya,65.67,340903.0,8093.0,2018
Gayo Lues,65.88,368583.0,8529.0,2018
Aceh Tamiang,68.45,420841.0,8032.0,2018
Nagan Raya,68.15,426827.0,7936.0,2018
Aceh Jaya,68.83,373690.0,9262.0,2018
Bener Meriah,72.14,413208.0,10626.0,2018
Pidie Jaya,72.12,448201.0,9967.0,2018
Kota Banda Aceh,84.37,607391.0,16234.0,2018
Kota Sabang,74.82,552272.0,10899.0,2018
Kota Langsa,76.34,371267.0,11497.0,2018
Kota Lhokseumawe,76.62,367525.0,10863.0,2018
Kota Subulussalam,63.48,315453.0,7039.0,2018
Nias,60.82,353141.0,6941.0,2018
Mandailing Natal,65.83,336820.0,9653.0,2018
Tapanuli Selatan,69.1,343407.0,11209.0,2018
Tapanuli Tengah,68.27,369471.0,10067.0,2018
Tapanuli Utara,72.91,357464.0,11607.0,2018
Labuhan Batu,71.39,368357.0,11053.0,2018
Asahan,69.49,315420.0,10735.0,2018
Simalungun,72.49,342477.0,11311.0,2018
Dairi,70.89,325176.0,10492.0,2018
Karo,73.91,437702.0,12367.0,2018
Deli Serdang,74.92,381173.0,12132.0,2018
Langkat,70.27,382536.0,11088.0,2018
Nias Selatan,60.75,261104.0,6941.0,2018
Humbang Hasundutan,67.96,329189.0,7630.0,2018
Pakpak Bharat,66.63,283258.0,8099.0,2018
Samosir,69.99,299640.0,8348.0,2018
Serdang Bedagai,69.69,361623.0,10737.0,2018
Batu Bara,67.67,381651.0,10385.0,2018
Padang Lawas Utara,68.77,321076.0,9912.0,2018
Padang Lawas,67.59,310569.0,8772.0,2018
Labuhan Batu Selatan,70.98,355517.0,11280.0,2018
Labuhan Batu Utara,71.08,395696.0,11730.0,2018
Nias Utara,61.08,383552.0,6041.0,2018
Nias Barat,60.42,386431.0,5817.0,2018
Kota Sibolga,72.65,415478.0,11405.0,2018
Kota Tanjung Balai,68.0,397647.0,11102.0,2018
Kota Pematang Siantar,77.88,474084.0,12290.0,2018
Kota Tebing Tinggi,74.5,426469.0,12434.0,2018
Kota Medan,80.65,518420.0,14845.0,2018
Kota Binjai,75.21,380792.0,10750.0,2018
Kota Padangsidimpuan,74.38,363468.0,10795.0,2018
Kota Gunungsitoli,68.33,327303.0,7639.0,2018
Kepulauan Mentawai,60.28,294284.0,6211.0,2018
Pesisir Selatan,69.4,409882.0,9089.0,2018
Solok,68.6,408570.0,10035.0,2018
Sijunjung,66.97,379046.0,10277.0,2018
Tanah Datar,71.25,369833.0,10417.0,2018
Padang Pariaman,69.71,402960.0,10919.0,2018
Agam,71.7,341372.0,9489.0,2018
Lima Puluh Kota,69.17,388689.0,9500.0,2018
Pasaman,65.6,334800.0,8238.0,2018
Solok Selatan,68.45,364498.0,10199.0,2018
Dharmasraya,70.86,414096.0,11189.0,2018
Pasaman Barat,67.43,402877.0,8979.0,2018
Kota Padang,82.25,507042.0,14312.0,2018
Kota Solok,77.89,414673.0,11968.0,2018
Kota Sawah Lunto,71.72,354665.0,9765.0,2018
Kota Padang Panjang,77.3,438075.0,10440.0,2018
Kota Bukittinggi,80.11,459371.0,13035.0,2018
Kota Payakumbuh,78.23,462243.0,13114.0,2018
Kota Pariaman,76.26,431368.0,12611.0,2018
Kuantan Singingi,69.96,521591.0,10476.0,2018
Indragiri Hulu,69.66,457871.0,10481.0,2018
Indragiri Hilir,66.51,435202.0,10254.0,2018
Pelalawan,71.44,515581.0,11894.0,2018
Siak,73.73,431814.0,12119.0,2018
Kampar,72.5,419306.0,11128.0,2018
Rokan Hulu,69.36,467343.0,9608.0,2018
Bengkalis,72.94,508633.0,11640.0,2018
Rokan Hilir,68.73,371067.0,9316.0,2018
Kepulauan Meranti,65.23,462535.0,7978.0,2018
Kota Pekanbaru,80.66,499852.0,14778.0,2018
Kota Dumai,74.06,418597.0,12063.0,2018
Kerinci,70.59,333978.0,9951.0,2018
Merangin,68.81,374250.0,10133.0,2018
Sarolangun,69.41,403411.0,11609.0,2018
Batang Hari,69.33,394438.0,9833.0,2018
Muaro Jambi,68.34,353583.0,8456.0,2018
Tanjung Jabung Timur,63.32,361574.0,8904.0,2018
Tanjung Jabung Barat,67.13,348495.0,9395.0,2018
Tebo,68.67,379390.0,10273.0,2018
Bungo,69.42,366226.0,11352.0,2018
Kota Jambi,77.41,466854.0,11912.0,2018
Kota Sungai Penuh,74.67,351391.0,10186.0,2018
Ogan Komering Ulu,69.01,415785.0,9940.0,2018
Ogan Komering Ilir,66.57,333505.0,10706.0,2018
Muara Enim,68.28,353012.0,11012.0,2018
Lahat,66.99,419658.0,9600.0,2018
Musi Rawas,66.18,427595.0,9562.0,2018
Musi Banyuasin,67.57,466822.0,10212.0,2018
Banyu Asin,66.4,381437.0,9760.0,2018
Ogan Komering Ulu Selatan,64.84,310717.0,8445.0,2018
Ogan Komering Ulu Timur,68.58,312340.0,11612.0,2018
Ogan Ilir,66.43,416098.0,10412.0,2018
Empat Lawang,64.81,306546.0,9450.0,2018
Penukal Abab Lematang Ilir,63.49,377160.0,8136.0,2018
Musi Rawas Utara,63.75,456844.0,9795.0,2018
Kota Palembang,77.89,510994.0,14697.0,2018
Kota Prabumulih,74.04,530748.0,12765.0,2018
Kota Pagar Alam,67.62,324025.0,8758.0,2018
Kota Lubuklinggau,74.09,470897.0,13288.0,2018
Bengkulu Selatan,69.85,364888.0,9592.0,2018
Rejang Lebong,69.4,434643.0,10045.0,2018
Bengkulu Utara,68.36,359264.0,10098.0,2018
Kaur,66.2,317558.0,8284.0,2018
Seluma,65.99,377647.0,7844.0,2018
Mukomuko,67.47,411795.0,10036.0,2018
Lebong,66.28,389973.0,11071.0,2018
Kepahiang,67.14,361281.0,9135.0,2018
Bengkulu Tengah,66.65,389821.0,9102.0,2018
Kota Bengkulu,79.67,642314.0,13633.0,2018
Lampung Barat,66.74,391444.0,9741.0,2018
Tanggamus,65.67,351167.0,9107.0,2018
Lampung Selatan,67.68,375868.0,9781.0,2018
Lampung Timur,69.04,352173.0,9908.0,2018
Lampung Tengah,69.73,385132.0,11052.0,2018
Lampung Utara,67.17,390927.0,8559.0,2018
Way Kanan,66.63,333033.0,8979.0,2018
Tulangbawang,67.7,384465.0,10553.0,2018
Pesawaran,64.97,360909.0,7724.0,2018
Pringsewu,69.42,408174.0,10190.0,2018
Mesuji,62.88,370497.0,7774.0,2018
Tulang Bawang Barat,65.3,384933.0,8205.0,2018
Pesisir Barat,62.96,393302.0,8355.0,2018
Kota Bandar Lampung,76.63,562277.0,11952.0,2018
Kota Metro,76.22,360656.0,11636.0,2018
Bangka,71.8,497164.0,12043.0,2018
Belitung,71.7,704855.0,13281.0,2018
Bangka Barat,68.68,520642.0,12011.0,2018
Bangka Tengah,69.52,680907.0,12836.0,2018
Bangka Selatan,65.98,483823.0,11573.0,2018
Belitung Timur,70.22,622396.0,11302.0,2018
Kota Pangkal Pinang,77.43,700949.0,15560.0,2018
Karimun,70.56,360087.0,11945.0,2018
Bintan,73.41,367294.0,14256.0,2018
Natuna,72.1,362519.0,14217.0,2018
Lingga,64.06,411387.0,11499.0,2018
Kepulauan Anambas,67.53,366917.0,11894.0,2018
Kota Batam,80.54,650406.0,17560.0,2018
Kota Tanjung Pinang,78.33,625473.0,15292.0,2018
Kota Jakarta Selatan,84.44,680167.0,23363.0,2018
Kota Jakarta Timur,82.06,502152.0,17339.0,2018
Kota Jakarta Pusat,81.01,580080.0,16994.0,2018
Kota Jakarta Barat,80.88,490331.0,20298.0,2018
Kota Jakarta Utara,79.87,512689.0,18121.0,2018
Bogor,69.69,359787.0,10323.0,2018
Sukabumi,66.05,302213.0,8618.0,2018
Cianjur,64.62,340882.0,7874.0,2018
Bandung,71.75,334929.0,10203.0,2018
Garut,65.42,282683.0,7597.0,2018
Tasikmalaya,65.0,306759.0,7761.0,2018
Ciamis,69.63,357382.0,9190.0,2018
Kuningan,68.55,332483.0,9297.0,2018
Cirebon,68.05,370747.0,10212.0,2018
Majalengka,66.72,440776.0,9416.0,2018
Sumedang,70.99,334743.0,10153.0,2018
Indramayu,66.36,447378.0,9633.0,2018
Subang,68.31,331557.0,10715.0,2018
Purwakarta,69.98,352061.0,11372.0,2018
Karawang,69.89,433972.0,11277.0,2018
Bekasi,73.49,463507.0,11155.0,2018
Bandung Barat,67.46,329415.0,8329.0,2018
Pangandaran,67.44,360960.0,8968.0,2018
Kota Bogor,75.66,480749.0,11348.0,2018
Kota Sukabumi,73.55,497995.0,10609.0,2018
Kota Bandung,81.06,448902.0,16630.0,2018
Kota Cirebon,74.35,426738.0,11397.0,2018
Kota Bekasi,81.04,582723.0,15755.0,2018
Kota Depok,80.29,615255.0,15262.0,2018
Kota Cimahi,77.56,462969.0,11921.0,2018
Kota Tasikmalaya,72.03,447008.0,9855.0,2018
Kota Banjar,71.25,324958.0,10329.0,2018
Cilacap,69.56,320106.0,10274.0,2018
Banyumas,71.3,366442.0,11240.0,2018
Purbalingga,68.41,324735.0,9786.0,2018
Banjarnegara,66.54,278210.0,9160.0,2018
Kebumen,68.8,342437.0,8757.0,2018
Purworejo,71.87,335995.0,10048.0,2018
Wonosobo,67.81,323490.0,10503.0,2018
Magelang,69.11,296327.0,9025.0,2018
Boyolali,73.22,304575.0,12758.0,2018
Klaten,74.79,397447.0,11738.0,2018
Sukoharjo,76.07,345363.0,11100.0,2018
Wonogiri,69.37,293357.0,9117.0,2018
Karanganyar,75.54,348896.0,11223.0,2018
Sragen,72.96,312106.0,12391.0,2018
Grobogan,69.32,366192.0,10097.0,2018
Blora,67.95,308520.0,9385.0,2018
Rembang,69.46,365443.0,10191.0,2018
Pati,70.71,414316.0,10190.0,2018
Kudus,74.58,393078.0,10979.0,2018
Jepara,71.38,371296.0,10169.0,2018
Demak,71.26,402211.0,10001.0,2018
Semarang,73.61,341576.0,11807.0,2018
Temanggung,68.83,287981.0,9142.0,2018
Kendal,71.28,353127.0,11257.0,2018
Batang,67.86,256549.0,9203.0,2018
Pekalongan,68.97,361297.0,10221.0,2018
Pemalang,65.67,351183.0,8186.0,2018
Tegal,67.33,332298.0,9433.0,2018
Brebes,65.68,405932.0,9890.0,2018
Kota Magelang,78.31,476582.0,11994.0,2018
Kota Surakarta,81.46,464063.0,14528.0,2018
Kota Salatiga,82.41,380856.0,15464.0,2018
Kota Semarang,82.72,427511.0,14895.0,2018
Kota Pekalongan,74.24,415172.0,12312.0,2018
Kota Tegal,74.44,455488.0,12830.0,2018
Kulon Progo,73.76,323105.0,9698.0,2018
Bantul,79.45,369480.0,15386.0,2018
Gunung Kidul,69.24,288748.0,9163.0,2018
Sleman,83.42,370127.0,15844.0,2018
Kota Yogyakarta,86.11,467061.0,18629.0,2018
Pacitan,67.33,268592.0,8527.0,2018
Ponorogo,69.91,297467.0,9426.0,2018
Trenggalek,68.71,308644.0,9400.0,2018
Tulungagung,71.99,328640.0,10455.0,2018
Blitar,69.93,305440.0,10327.0,2018
Kediri,71.07,294098.0,10853.0,2018
Malang,69.4,314550.0,9844.0,2018
Lumajang,64.83,281461.0,8931.0,2018
Jember,65.96,324174.0,9090.0,2018
Banyuwangi,70.06,339891.0,11828.0,2018
Bondowoso,65.27,363443.0,10429.0,2018
Situbondo,66.42,294209.0,9692.0,2018
Probolinggo,64.85,402532.0,10700.0,2018
Pasuruan,67.41,331057.0,9933.0,2018
Sidoarjo,79.5,437899.0,14168.0,2018
Mojokerto,72.64,370610.0,12454.0,2018
Jombang,71.86,374895.0,10999.0,2018
Nganjuk,71.23,388186.0,11768.0,2018
Madiun,71.01,327536.0,11351.0,2018
Magetan,72.91,319909.0,11539.0,2018
Ngawi,69.91,301158.0,11187.0,2018
Bojonegoro,67.85,330544.0,9926.0,2018
Tuban,67.43,328268.0,10048.0,2018
Lamongan,71.97,360444.0,11108.0,2018
Gresik,75.28,438704.0,12845.0,2018
Bangkalan,62.87,369455.0,8393.0,2018
Sampang,61.0,325825.0,8569.0,2018
Pamekasan,65.41,317144.0,8536.0,2018
Sumenep,65.25,340033.0,8722.0,2018
Kota Kediri,77.58,453807.0,11976.0,2018
Kota Blitar,77.58,425832.0,13391.0,2018
Kota Malang,80.89,507114.0,16158.0,2018
Kota Probolinggo,72.53,479267.0,11796.0,2018
Kota Pasuruan,74.78,415171.0,12931.0,2018
Kota Mojokerto,77.14,437231.0,13155.0,2018
Kota Madiun,80.33,446525.0,15616.0,2018
Kota Surabaya,81.74,530178.0,17157.0,2018
Kota Batu,75.04,467073.0,12466.0,2018
Pandeglang,64.34,310859.0,8613.0,2018
Lebak,63.37,283901.0,8634.0,2018
Tangerang,71.59,451325.0,12179.0,2018
Serang,65.93,294829.0,10693.0,2018
Kota Tangerang,77.92,556782.0,14443.0,2018
Kota Cilegon,72.65,428867.0,12900.0,2018
Kota Serang,71.68,350237.0,13261.0,2018
Kota Tangerang Selatan,81.17,549150.0,15672.0,2018
Jembrana,71.65,385959.0,11666.0,2018
Tabanan,75.45,422345.0,14245.0,2018
Badung,80.87,534069.0,17325.0,2018
Gianyar,76.71,378561.0,14376.0,2018
Klungkung,70.9,310764.0,11318.0,2018
Bangli,68.96,327668.0,11160.0,2018
Buleleng,71.7,395678.0,13235.0,2018
Kota Denpasar,83.3,545357.0,19698.0,2018
Lombok Barat,67.18,412487.0,11367.0,2018
Lombok Tengah,65.36,386676.0,9796.0,2018
Lombok Timur,65.35,414721.0,9268.0,2018
Sumbawa,66.77,320617.0,9028.0,2018
Dompu,66.97,284188.0,8743.0,2018
Bima,65.62,308695.0,8354.0,2018
Sumbawa Barat,70.71,459065.0,11496.0,2018
Lombok Utara,63.83,416705.0,8888.0,2018
Kota Mataram,78.43,457950.0,14797.0,2018
Kota Bima,75.04,323187.0,10825.0,2018
Sumba Barat,62.91,326334.0,7275.0,2018
Sumba Timur,64.65,331295.0,9351.0,2018
Kupang,63.55,336984.0,7472.0,2018
Timor Tengah Selatan,61.58,302124.0,6855.0,2018
Timor Tengah Utara,62.65,343965.0,6357.0,2018
Belu,61.86,330944.0,7403.0,2018
Alor,60.14,305853.0,6750.0,2018
